individualID,projectID,scientificName,scientificAbbreviation,dayCollected,monthCollected,yearCollected,locality,decimalLatitudeOriginal,decimalLongitudeOriginal,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,depthOfColonyinMetersOriginal,depthOfColonyinMetersCorrected,EcoPlotID_full,k_value_GBR1,long_GBR1,lat_GBR1,k_value_GBR4,long_GBR4,lat_GBR4
25,ECO03,Stylophora pistillata,Spis,12,5,2021,Lady_Musgrave,-23.917571,152.391971,-23.917571,152.391971,GPS EcoRRAP sites,60,1-May,5.1,CBLM_FL2S,5.35,152.390371,-23.919904,5.5,152.398788,-23.926022
26,ECO03,Stylophora pistillata,Spis,12,5,2021,Lady_Musgrave,-23.917571,152.391971,-23.917571,152.391971,GPS EcoRRAP sites,60,1-May,5.1,CBLM_FL2S,5.35,152.390371,-23.919904,5.5,152.398788,-23.926022
27,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022
28,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022
29,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022
30,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022
31,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022
32,ECO03,Acropora hyacinthus,Ahya,12,5,2021,Lady_Musgrave,-23.900155,152.393624,-23.900155,152.393624,GPS EcoRRAP sites,60,2-Sep,4.1,CBLM_BA1S,5.35,152.395371,-23.899904,5.5,152.398788,-23.896022
33,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
34,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
35,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
36,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
37,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
38,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
39,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
40,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
41,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.894298,152.404406,-23.894298,152.404406,GPS EcoRRAP sites,60,2-May,4.6,CBLM_BA2S,5.35,152.405371,-23.894904,5.5,152.398788,-23.896022
42,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
42,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
43,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
44,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
45,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
46,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
47,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
48,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
49,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
50,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
51,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
52,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
52,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
53,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
54,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
55,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
56,ECO03,Stylophora pistillata,Spis,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
57,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
58,ECO03,Acropora hyacinthus,Ahya,13,5,2021,Lady_Musgrave,-23.896238,152.413635,-23.896238,152.413635,GPS EcoRRAP sites,60,1,4.1,CBLM_LA1S,5.35,152.415371,-23.894904,5.5,152.398788,-23.896022
59,ECO03,Acropora hyacinthus,Ahya,18,5,2021,North_Keppel,-23.085288,150.898847,-23.085288,150.898847,GPS EcoRRAP sites,60,1-May,3.1,KENK_FL1S,5.35,150.900371,-23.084904,5.5,150.898788,-23.086022
60,ECO03,Acropora hyacinthus,Ahya,18,5,2021,North_Keppel,-23.085288,150.898847,-23.085288,150.898847,GPS EcoRRAP sites,60,1-May,3.1,KENK_FL1S,5.35,150.900371,-23.084904,5.5,150.898788,-23.086022
61,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
62,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
63,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
64,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
65,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
66,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
67,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
68,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
69,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Halfway,-23.201548,150.966419,-23.201548,150.966419,GPS EcoRRAP sites,60,1-May,4.3,KEHW_BA1S,5.35,150.965371,-23.199904,5.5,150.958788,-23.206022
70,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Great_Keppel,-23.196282,150.936693,-23.196282,150.936693,GPS EcoRRAP sites,60,1-May,2.7,KEGK_BA1S,5.35,150.935371,-23.194904,3,150.928788,-23.206022
70,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Great_Keppel,-23.196282,150.936693,-23.196282,150.936693,GPS EcoRRAP sites,60,1-May,2.7,KEGK_BA1S,5.35,150.935371,-23.194904,3,150.928788,-23.206022
71,ECO03,Acropora hyacinthus,Ahya,19,5,2021,Great_Keppel,-23.196282,150.936693,-23.196282,150.936693,GPS EcoRRAP sites,60,1-May,2.7,KEGK_BA1S,5.35,150.935371,-23.194904,3,150.928788,-23.206022
