scientificName,locality,n_individuals,X,dayCollected,monthCollected,yearCollected,decimalLatitudeOriginal,decimalLongitudeOriginal,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,depthOfColonyinMetersCorrected,mean_wspeed_u,mean_wspeed_v,mean_wind_speed,sd_wind_speed,cv_wind_speed,min_wind_speed,max_wind_speed,wind_speed_range,wind_vector_magnitude,mean_wind_direction,wind_directional_constancy,wind_directional_variability,mean_wave_energy_proxy,wind_transport_potential,wind_dispersal_symmetry,wind_retention_potential,mean_u,mean_v,mean_current_speed,sd_current_speed,cv_current_speed,min_current_speed,max_current_speed,current_speed_range,mean_current_direction,current_transport_potential,current_dispersal_symmetry,current_retention_potential,k_value_GBR1,long_GBR1,lat_GBR1,k_value_GBR4,long_GBR4,lat_GBR4,mean_temp,sd_temp,skew_temp,kurtosis_temp,MaxMonthMean,mean_duration_DHD,MinMonthMean,mean_duration_DCD,mean_daily_temp_range,mean_annual_temp_range,temporal_autocorr_daily,temporal_autocorr_annual,slope_annual_temp_change,Depth,Chl_a_sum_mean_monthly_max,Chl_a_sum_median_monthly_max,Chl_a_sum_overall_mean,Chl_a_sum_overall_median,Chl_a_sum_cv_monthly_mean,Chl_a_sum_sd_monthly_mean,NO3_mean_monthly_max,NO3_median_monthly_max,NO3_overall_mean,NO3_overall_median,NO3_cv_monthly_mean,NO3_sd_monthly_mean,Oxygen_mean_monthly_max,Oxygen_median_monthly_max,Oxygen_overall_mean,Oxygen_overall_median,Oxygen_cv_monthly_mean,Oxygen_sd_monthly_mean,PH_mean_monthly_max,PH_median_monthly_max,PH_overall_mean,PH_overall_median,PH_cv_monthly_mean,PH_sd_monthly_mean,alk_mean_monthly_max,alk_median_monthly_max,alk_overall_mean,alk_overall_median,alk_cv_monthly_mean,alk_sd_monthly_mean,omega_ar_mean_monthly_max,omega_ar_median_monthly_max,omega_ar_overall_mean,omega_ar_overall_median,omega_ar_cv_monthly_mean,omega_ar_sd_monthly_mean
Acropora  spathulata,Chicken,60,2187.5,10,3,2022,-18.669761416666667,147.70700133333332,-18.669761416666667,147.70700133333332,10,0.9083333333333332,-4.826932995516667,2.2050388527333333,5.577781150833333,1.75987566705,0.31551536686666665,1.3800170010666666,8.992124292483334,7.612107291383333,5.30673897705,114.55186161666667,0.9514068087166667,0.04859319128333334,224.86184300166667,5.30673897705,0.13461412973333334,0.008711922016666667,-0.010057070083333333,4.5897845e-4,0.05756957493333333,0.032962916366666664,0.5747337300666666,0.0060855185,0.21131542516666665,0.20522990663333332,155.62383252516668,0.011678793466666665,0.8151676614833333,14.151643615333333,1.8791666666666667,147.705371,-18.669904,1.5583333333333331,147.718788,-18.676022,27.028844788,1.9621333942666668,0.03248361533333333,1.8420867741166667,29.654707769833333,15.435185186666667,24.332271796333334,19.731481482,0.4885415915,6.8636722281499996,0.9957861059333334,0.3227308151166667,0.05585248145,-1.5433333333333334,0.44970342096666666,0.4398812463166667,0.26479487576666666,0.2741036612166667,45.61274201283334,0.12075911916666666,0.8788036266666667,0.6499672718166667,0.34442200335,0.20222480168333334,73.77566185216666,0.2540833914833333,6860.05785985,6868.946920933334,6783.72772965,6773.941131616667,2.1586157664166667,146.43501800666667,8.083614200566666,8.084768737133333,8.073056209683333,8.073043240666667,0.31970477826666666,0.025809895566666668,2253.9455784833335,2253.377742333333,2251.3083736666667,2251.126375983333,0.18964914893333334,4.26958717025,3.7845478695666666,3.7793522221333333,3.742697935633333,3.74039934055,1.9761635952,0.07396192301666667
Acropora  spathulata,Davies,53,2131,12,3,2022,-18.825678283018867,147.62653024528302,-18.825678283018867,147.62653024528302,10,1.2018867924528303,-4.785248068094339,2.1123972893962266,5.524757215377359,1.7172780281509434,0.3108332115283019,1.519823444754717,9.017992743943395,7.498169299150943,5.230757247830189,113.8185551509434,0.946784997735849,0.05321500226415094,217.27206771886793,5.230757247830189,0.13385369143396225,0.009632097867924528,-0.008508568132075471,-0.028878069905660376,0.056316897641509434,0.030943001716981132,0.5509022056037736,0.004435478132075472,0.18996767758490565,0.1855321993207547,22.739308345283018,0.031030568452830188,0.8483994286037736,7.966595967792453,1.986792452830189,147.625371,-18.824904,1.7452830188679245,147.628788,-18.826022,26.91911913509434,2.0030100093207546,0.009442006924528302,1.872539733207547,29.589993899811322,15.33962264283019,24.120006477547168,19.72327044301887,0.47333006603773586,7.090953626264151,0.9953489884716981,0.3385664600566038,0.05625438660377358,-1.7273584905660375,0.43310473488679246,0.40779881449056604,0.25524170958490566,0.2658062002264151,44.782581998301886,0.11429655379245283,0.6485312506792453,0.525604787490566,0.2556564453207547,0.1366441558490566,81.65373450169811,0.2087489219245283,6854.197403,6860.946604830188,6774.948156849056,6780.732798037736,2.323922173811321,157.44486358867925,8.083476125886792,8.083162128679245,8.073157996377358,8.072338510962265,0.30499530850943396,0.024622715867924527,2253.7083318679247,2252.850029320755,2250.741430245283,2250.5728478867923,0.24163245235849057,5.438521692528302,3.7771860095660377,3.7717312608867926,3.7319172228113207,3.735379299207547,2.3059908456603773,0.08605777809433962
Acropora  spathulata,Fitzroy_Island,60,2336.5,6,3,2022,-16.939406733333332,145.985056,-16.939406733333332,145.985056,10,0.29333333333333333,-2.53793533565,4.500933161283333,5.271443146916667,2.3722846,0.45002430861666665,0.20398876416666667,9.4165354707,9.212546706583334,5.167270464066666,150.58392323666666,0.9802411813666667,0.019758818633333335,232.12871651,5.167270464066666,0.5185710284333334,0.0037477908,0.003986804866666668,0.06396858891666667,0.0816444717,0.0480488693,0.5934324133,0.00803812615,0.19309502043333335,0.18505689418333335,185.82789532,0.06545862086666666,0.9167325068333333,2.5154536467833335,0.9624999999999999,145.98670433333334,-16.939904,0.875,145.983788,-16.936022,27.289830760166666,2.353249351716667,-0.1566016635666667,1.7345348576666666,30.139407653166664,15.649999997166667,23.7704968745,22.394444442166666,0.5993762566999999,8.090514192333334,0.9954325352333333,0.3628376642166667,0.054638692983333334,-0.7916666666666669,0.4219256003833333,0.42816795538333335,0.26920076835,0.21111715328333333,59.00505136333334,0.1588447827,3.78660111455,1.6565667546333334,1.5172731469333334,0.20204912648333334,156.354403125,2.3725975217333333,6865.352675833334,6869.464833783333,6763.35430225,6781.200857533333,2.7518758223333335,186.11900067833332,8.069079891316667,8.069256878166666,8.056692301583332,8.05850949625,0.2598101999333333,0.020932078966666667,2233.0602266833334,2235.1034356666664,2221.319068683333,2225.4763204333335,0.9546167393333334,21.204904499,3.7025815421166666,3.694574438566667,3.6162851368333335,3.6095261381833335,5.696112189516667,0.2059865849
Acropora  spathulata,Fitzroy_Reef,61,2014,25,3,2022,-23.61279073770492,152.15148949836066,-23.61279073770492,152.15148949836066,10,-0.6442622950819672,-3.7071568369508197,2.0312961602786888,4.673151234918032,1.8164926218360655,0.38870830209836066,0.5273825026557377,8.821429953262296,8.294047450622951,4.227194832557377,118.72005859016393,0.9045705168196722,0.09542948318032787,149.3963963557377,4.227194832557377,0.20671157098360657,0.020420800032786884,-0.02882197331147541,0.010434563590163934,0.03572759886885246,0.014413506360655737,0.4004785468360656,0.010822395131147541,0.07258262139344263,0.06176022624590164,107.67212482639344,0.03103186493442623,0.19559183342622952,4.38502172004918,0.530327868852459,152.15225624590164,-23.613838426229506,0.5163934426229508,152.158788,-23.626022,24.322491189508195,1.7212579029180328,0.05951974706557377,1.6513327965901639,26.751783834590164,19.98542804901639,22.058853126885246,25.810564664918033,0.21305224940983605,5.621662874229508,0.9985742169836065,0.2503986433114754,-0.05265565755737705,-0.5,1.4054582858032787,1.3646733392295083,1.000738025295082,0.9279270435245902,30.943198395081968,0.3096635272786885,7.447212599442623,4.539782384672131,1.7462606981639344,0.751910141147541,97.60509627245902,1.7041764535573771,7080.769843081967,7054.412634983607,6984.54973595082,6967.768855967213,2.8637449413114755,200.0196897737705,8.118574222081968,8.113315952721312,8.107543717655737,8.102617843508197,0.3387087401147541,0.027460958393442623,2250.2480821311474,2250.6508489344264,2247.9341419344264,2248.069550229508,0.2161482762295082,4.858870894639344,3.705614457737705,3.7081248033114753,3.6573841014262296,3.670309879885246,2.1675345392786887,0.07927504037704917
Acropora  spathulata,Heron,60,2074.5,26,3,2022,-23.439700059,151.98111531166666,-23.439700059,151.98111531166666,10,-0.6733333333333333,-3.8102682983,1.9997598285,4.725376224916666,1.7957401721333333,0.3800205710833333,0.7641906557166667,8.896292460683334,8.132101804883334,4.303159755733334,117.692033695,0.9106491319833333,0.08935086801666667,152.38486723833333,4.303159755733334,0.19365821506666667,0.018908731,0.0026229227166666667,0.009539585816666666,0.028629085366666668,0.017327408866666668,0.6054152747333333,0.0016666028666666665,0.07619749305,0.07453090753333333,195.05683695833332,0.009994407033333333,0.9087702056833333,22.763974271,0.5308333333333334,151.98078766666666,-23.439904,0.5166666666666667,151.978788,-23.446022,24.666270763333333,2.0744681845499997,0.0193916473,1.6879629148833335,27.580305593,15.922222223,21.858339231166667,19.787037039166666,0.44389501996666664,6.771619292966666,0.9982599686166667,0.11941958046666667,-0.04922263596666667,-0.5416666666666667,1.0690153141666667,1.044975733,0.70626387335,0.6508792298833334,26.10202041233333,0.18434923413333335,4.076211298033334,2.9035417331166666,0.8656104206333334,0.3164235419,92.69585611033334,0.8023767374833334,7056.651553783333,7024.911941966667,6965.738646416667,6955.0252558,2.7770878193,193.44469215,8.108015861566667,8.10456350025,8.09627546355,8.090125616716668,0.36182278501666665,0.029294169366666668,2249.910611083333,2250.3356935166667,2246.626908683333,2246.8291112166667,0.2523283182,5.66887589185,3.6712014292833333,3.670043349983333,3.618616288366667,3.6325283750833335,2.8114522134833333,0.10173566598333333
Acropora  spathulata,Hicks,61,2726,28,2,2022,-14.474934573770492,145.50277626229507,-14.474934573770492,145.50277626229507,10,2.1639344262295084,-4.924465028131148,4.084502570377049,6.595919404245902,3.198005477672131,0.4848460528032787,0.16910887667213115,11.203352146065575,11.03424327,6.397930687622951,129.67335505081968,0.9699831503442623,0.030016849655737705,471.6901763262295,6.397930687622951,0.2534073392622951,0.004550821262295082,-0.09329049085245901,0.06135457103278689,0.11865224050819673,0.028602904393442624,0.24132944501639345,0.05013174975409836,0.1810090438852459,0.13087729406557377,123.33540113606557,0.11166625483606557,0.214042505,0.5052628867213115,3.481147540983607,145.50242018032787,-14.474904,3.0737704918032787,145.498788,-14.476022,27.187225729672132,1.7217420213770493,0.01583288149180328,1.7720140753934426,29.422709374918036,16.44990892639344,24.965285448032787,25.808743171311477,0.3100116812622951,5.72051350957377,0.9967846665737705,0.2387429263770492,0.07864234736065574,-2.594262295081967,0.4541049358032787,0.449207816442623,0.25808909573770494,0.19989783675409836,67.52813769540984,0.17427057127868853,1.205223048918033,0.759540256147541,0.419015552147541,0.18239581613114755,134.04789271639345,0.5616382950983606,6880.109587983607,6871.994410295082,6776.443012278689,6766.209393081967,2.145065210852459,145.36058702786886,8.080601490983607,8.080335182885246,8.068664565885246,8.069049266639345,0.28968225875409837,0.02337343175409836,2254.6334764590165,2255.1313571311475,2249.8996775737705,2251.409948852459,0.2556381526885246,5.7516019927704916,3.804024639852459,3.7976506579016394,3.742062500704918,3.741488575967213,1.9000997320655737,0.07110308127868853
Acropora  spathulata,Kelso,44,2284.5,9,3,2022,-18.423558522727273,146.98555863636363,-18.423558522727273,146.98555863636363,10,0.925,-4.324922922727272,1.9923451321363637,5.104175865090909,1.662373583340909,0.32568893070454547,1.3639493467045454,8.424519233818181,7.060569887,4.761764107545455,114.73391918863636,0.9329153567272728,0.06708464327272727,175.36222387272727,4.761764107545455,0.15266970038636363,0.013143093,-0.05739497011363636,-0.037047,0.08793832427272727,0.03183521979545455,0.36195614175,0.018151623750000002,0.2048725775909091,0.18672095388636364,57.06766101068182,0.06833711554545455,0.3481998557727273,2.551892509931818,2.3761363636363635,146.985371,-18.424904,1.5681818181818181,146.998788,-18.436022,27.058555126590907,2.0278328557272727,0.019402425522727272,1.839913513181818,29.761845818636363,16.022727272727273,24.254086332727276,20.936868686818183,0.49214267754545454,7.0970203610454545,0.9956874977045455,0.3535385272045455,0.061341332772727276,-0.7284090909090908,0.42683156136363637,0.38726877145454547,0.2527238713636364,0.2526037843181818,41.64659620568182,0.10524864995454546,0.8795574730454545,0.6339579671590909,0.2685163227727273,0.13772400472727273,85.01858099159091,0.2282881959090909,6853.551083,6841.886896613636,6774.121094477273,6780.598297204546,2.441713744568182,165.4047767840909,8.080149399113637,8.08166881825,8.069911489704545,8.068968024227273,0.29936516375,0.024158484681818183,2252.392421340909,2251.4265878863634,2247.972832068182,2247.8508376136365,0.3319986354090909,7.463239123477273,3.773914819931818,3.7610110620227273,3.723983879840909,3.724837452431818,2.8323669834545453,0.10547693111363636
Acropora  spathulata,Lady_Musgrave,57,1955,24,3,2022,-23.905840663157896,152.38957606666668,-23.905840663157896,152.38957606666668,10,0.9290909090909089,-3.496327204350877,2.054949473631579,4.551496486596491,1.848170590245614,0.4060578901403509,0.13219008989473685,8.770970354929824,8.638780265035088,4.055509954350877,120.4447727736842,0.8910276005789474,0.10897239942105263,141.87194325438597,4.055509954350877,0.23182949087719298,0.02394215212280702,0.004711181052631579,-0.001786168561403509,0.01785627092982456,0.010039941403508772,0.5627373896666666,0.0018118306842105263,0.04994662980701754,0.04813481556140351,243.26601863964913,0.007724553368421053,0.6144060838596491,32.2375771862807,2.0081818181818183,152.38864372727272,-23.90708581818182,1.8636363636363633,152.40206072727273,-23.896022,24.285461073454545,1.7108940854363637,0.05421134589090909,1.6404232834181818,26.697602858545455,20.54545454890909,22.02642014272727,26.377777776727275,0.16647279372727272,5.519625365036363,0.9988388142,0.2798573292545455,-0.05227189583636364,-1.6894736842105265,1.2134316583508773,1.1602371766842106,0.8909305068245614,0.8212252765789474,28.0951486977193,0.2505593039473684,2.656158199403509,1.729187697982456,0.8430548177017544,0.5658121560701754,77.18750838666666,0.6515582022280701,7084.931277403509,7056.517285877193,7003.818226140351,6976.255726035088,2.8380181557192983,198.77026442280703,8.121970276614036,8.11942702091228,8.111394826578948,8.108540658298246,0.3322781593859649,0.026952377859649122,2250.2121024736844,2250.6853064035085,2247.479620473684,2247.395816631579,0.1966404743859649,4.419454483929824,3.722475976105263,3.724779814245614,3.676895442982456,3.6923262089298245,1.8567888261052632,0.068271727
Acropora  spathulata,Mackay,60,2500.5,4,3,2022,-16.038791816666667,145.6512263,-16.038791816666667,145.6512263,10,-0.22333333333333333,-3.9270623194166667,4.3259541167,5.95691273895,2.5569539884833334,0.42924147135,0.72703816935,10.091285222333333,9.36424705295,5.8425762743166665,137.76711490166667,0.9808060870833333,0.019193912916666667,323.6584924983333,5.8425762743166665,0.34075544005,0.0032221243,-0.0686203547,0.06425326186666666,0.11681547938333334,0.0423752896,0.36275406146666667,0.018632313916666667,0.1935065366,0.1748742226,133.11756631333333,0.09400657595,0.41257482591666667,1.6714893720833333,0.6233333333333333,145.650371,-16.039904,0.5666666666666667,145.648788,-16.036022,27.301665702,2.114551801533333,0.020388844866666665,1.8167178724,30.023207345333333,16.355555552666665,24.431796925333334,21.785185187333333,0.6411130304,7.428079104533333,0.993848068,0.28135709233333334,0.06573843053333334,-0.5,0.28011570918333334,0.26012396478333333,0.17697824713333332,0.14280632235000001,60.2756783995,0.10667483945,0.72506604865,0.40804530191666666,0.27633235035,0.11582446828333333,113.16913733666667,0.31272297311666664,6793.3831935,6797.16739965,6716.5528062,6710.378461866667,2.0822692221166665,139.85671186833332,8.071948011716666,8.071083462533334,8.059523145016666,8.060626659716666,0.3108332011,0.02505167375,2247.540796083333,2246.88720195,2239.4031247166668,2239.616272033333,0.45204391433333335,10.123085538666666,3.7479596084666666,3.7379108455666668,3.6760725939666665,3.6700028586,3.0354336453,0.11158474426666666
Acropora  spathulata,Martin,60,2560.5,2,3,2022,-14.779987516666667,145.35883876666668,-14.779987516666667,145.35883876666668,10,0.5616666666666666,-4.8094513361,4.3524581323666665,6.653059717916666,3.112390410216667,0.46781338833333336,0.13705762945,11.2904785655,11.153420935333333,6.4865025848833335,132.144470175,0.9749653323,0.0250346677,471.9983126583333,6.4865025848833335,0.2771068380166667,0.003762880566666667,-0.066633278,0.0767290913,0.10822423698333333,0.057529609833333335,0.5315300352,0.0020016551000000002,0.21800273255,0.21600107745,139.03559665166665,0.10163327675,0.38438564971666667,0.5632309541,1.4558333333333333,145.360371,-14.779904,1.0166666666666666,145.348788,-14.776022,27.155762872500002,2.181623044066667,-0.06267707598333333,1.73014024835,29.929331990166666,15.401851853,24.1139512925,21.22222222,0.5680898573166666,7.3693222476499995,0.9961085606666666,0.3231144275666667,0.07423190015,-0.5,0.2838013482166667,0.2509332782,0.18664719891666667,0.15367402636666666,59.6801507945,0.11139158886666667,1.04949716675,0.4944973323,0.37617339791666665,0.05940386765,147.80564279,0.5560224412,6797.937376416667,6806.4676825999995,6702.999533516667,6706.80950295,2.1290118783,142.70765095,8.066765397016667,8.065697339316667,8.053640483233334,8.05487069515,0.27245045148333336,0.021942179883333333,2240.74585665,2242.1377115166665,2229.5928004166667,2230.3514012,0.6444740647166667,14.369141656333333,3.7051002223666667,3.7076474952666665,3.6082665561000002,3.6186606428833334,3.85189068535,0.13898619171666668
