EcoLocationID_short,Latitude,Longitude,mmm_eta,mmm_salt_9m,mmm_salt_2.35m,mmm_temp_9m,mmm_temp_2.35m,mmm_u_9m,mmm_u_2.35m,mmm_v_9m,mmm_v_2.35m,mmm_wspeed_u,mmm_wspeed_v,mean_annual_eta,mean_annual_salt_9m,mean_annual_salt_2.35m,mean_annual_temp_9m,mean_annual_temp_2.35m,mean_annual_u_9m,mean_annual_u_2.35m,mean_annual_v_9m,mean_annual_v_2.35m,mean_annual_wspeed_u,mean_annual_wspeed_v,monthly_variability_eta,monthly_variability_salt_9m,monthly_variability_salt_2.35m,monthly_variability_temp_9m,monthly_variability_temp_2.35m,monthly_variability_u_9m,monthly_variability_u_2.35m,monthly_variability_v_9m,monthly_variability_v_2.35m,monthly_variability_wspeed_u,monthly_variability_wspeed_v
CBHE_BA1D,-23.428043,151.952453,-0.015397784,35.629997310778286,35.62946220830833,27.325603120837524,27.32395569859399,0.019690995870915495,0.019603556635897072,0.005262754,0.012689073348097787,-2.25959518,4.342600731963732,-0.111108037,35.58368250730586,35.58348874303241,25.01280000604272,25.011218311114252,0.013266781504895195,0.011628925994750518,-4.86E-04,0.00215136,-3.633831789,1.7998494077429101,-0.450890719,0.00220532,0.00220479,0.084010928,0.084020794,1.4438196855059482,2.386018654957426,-435.033837,1.8624460907358864,-0.268953183,0.8381949533265454
CBHE_BA1S,-23.4284405,151.952418,-0.015447198,35.63006316888512,35.629549210638245,27.327003834565634,27.325277194830043,0.019548643294100686,0.019507396140539614,0.005296548,0.013161955272536403,-2.259384001,4.342694559081041,-0.111154651,35.583825421839634,35.58363557518015,25.013559686298937,25.01190841876611,0.013184775197155814,0.011511120001872998,-3.96E-04,0.002371927,-3.633740647,1.7999371027526816,-0.450678328,0.002205103,0.002204601,0.084041569,0.084052054,1.4326747014505392,2.432978241195065,48.16666248326047,1.7640280701343973,-0.268974359,0.8382122874216852
CBHE_BA2D,-23.434075,151.920269,-0.014752472,35.63881341406069,35.63613507127304,27.366339849587703,27.36257328875859,-0.004052037,-0.005103265,0.037719015374706275,0.045102811,-2.248910298,4.352574300722628,-0.111076582,35.58620300915302,35.58563708226623,25.028574537722516,25.02485962128009,-0.009990735,-0.012636616,0.023826866,0.027714254105716443,-3.638151483,1.8038125553824234,-0.453469112,0.002202539,0.002194916,0.084882665,0.084886167,-0.665661122,-0.629677775,0.30657807603052845,0.32213164,-0.270416134,0.844390116
CBHE_BA2S,-23.433982,151.920934,-0.014696208,35.63829213526752,35.63520424219909,27.36076076457839,27.35711373262987,-0.001863218,-0.003074633,0.032567065940205836,0.040059293633048214,-2.250473995,4.351560306265744,-0.11099264,35.58552702854289,35.584931517953414,25.026167236010266,25.02253924,-0.007650184,-0.0103259,0.020124202188254985,0.024105108,-3.638393538,1.8031434477839337,-0.453778714,0.002204598,0.002195743,0.08473829,0.084741156,-0.758562268,-0.701269679,0.3252810672740192,0.3417727077826484,-0.270240052,0.8440195967897554
CBHE_FL1S,-23.4561755,151.925688,-0.006436106,35.64398231743883,35.64235649,27.416766446937032,27.41542599898645,-0.015071306,-0.014135693,0.069682941,0.074447576,-2.22945145,4.362199048751157,-0.105132916,35.59449795952062,35.59305526195753,25.066942696148743,25.064810638071307,-0.02296401,-0.02346924,0.0382787,0.042815839,-3.62883358,1.812616733062971,-0.489531305,0.002191209,0.002190545,0.085885985,0.085890587,-0.392569644,-0.429711093,0.3685135528639802,0.3420503300480359,-0.272320512,0.8453092418309321
CBHE_FR1D,-23.472098,151.977937,-0.007646296,35.63868995575277,35.63633204375666,27.367944010690202,27.372793296775185,0.022919716846856213,0.026927426803340912,0.012981894609399618,0.025513103,-2.222211007,4.356239123015377,-0.1067355,35.59348609956482,35.59200037728889,25.046880789614875,25.04820966723068,0.016050852726373056,0.015531912364827701,0.008481184,0.012853343407730512,-3.613398183,1.8147285645964268,-0.485297959,0.002236153,0.002224275,0.084630266,0.084717663,0.6977517440831874,0.9812224591668115,0.3739852093208391,0.5538951277060539,-0.272603958,0.8387187487459364
CBHE_FR1S,-23.471972,151.9777105,-0.007607939,35.63879414531995,35.63635947,27.368520427419924,27.372944349453462,0.022882062916553602,0.026888291531228247,0.012875476,0.025357471804716498,-2.222160554,4.356275636427237,-0.10670705,35.593528460012074,35.592014340359064,25.047232366060346,25.048317745819823,0.016028589,0.015483748771576015,0.008473458,0.012787052690898089,-3.61339243,1.8147541510102339,-0.485471679,0.002236358,0.002224416,0.084640711,0.084721738,0.6953638517995359,0.9855722034017171,0.37093615863011664,0.552022738,-0.272609504,0.8387346048934808
CBHE_FR2D,-23.4708255,151.9510635,-0.004025903,35.646672604845065,35.64133582213551,27.41538176042123,27.417001831144322,0.012758604,0.013537859673516872,0.013057204541827835,0.028494588153228466,-2.218099094,4.363472886993516,-0.103498101,35.59745292,35.59538460879723,25.07506764302745,25.074023416208284,0.007579371,0.00490423,0.006923851,0.014757607,-3.617944443,1.817291497,-0.501134,0.002217099,0.002206025,0.08586573,0.085855169,1.377891264,4.214023902464997,0.4325777976243524,0.4540695191557041,-0.273209859,0.8428943761185645
CBHE_FR2S,-23.470371,151.950669,-0.003994588,35.646678513479074,35.64142292553113,27.415653584293985,27.417408343135552,0.012481320478052628,0.013324356234558288,0.013023815057504651,0.028962126101245222,-2.21828689,4.3634120370285006,-0.103470311,35.597461065080765,35.59539457457137,25.07518086134096,25.074187560917046,0.007365128,0.004718001,0.006882847,0.015022340730133095,-3.618061464,1.817215206221439,-0.501286833,0.002216816,0.002206187,0.085871355,0.085859685,1.415365995145179,4.621450923,0.4359329651773561,0.45235840605880284,-0.273192326,0.8428978552930326
CBHE_LA1S,-23.454021,151.968494,-0.01334788,NA,35.63864972281042,NA,27.422160270403136,NA,0.018684001692527003,NA,0.046353895,-2.236947977,4.350942480863099,-0.110705488,NA,35.59409576402422,NA,25.074860455968007,NA,0.00851557,NA,0.020279124870112235,-3.621104178,1.8090763643343755,-0.459039981,NA,0.002213271,NA,0.085644069,NA,2.5375841673156394,NA,0.6744747184857196,-0.271125649,0.8383155579240472
CBLM_BA1S,-23.900155,152.393624,-0.019219059,35.52456722676212,35.52477564633629,26.591299849504217,26.588858339424576,4.460664829022465e-4,0.004546938,1.9478188322260737e-4,3.1158851828066243e-4,-1.782416446,4.378437962762738,-0.112964395,35.49677827690259,35.49496771236035,24.529120608289496,24.526743060844126,-0.003414086,-1.65E-04,-0.002302103,-0.003876968,-3.321292804,1.8533534252754498,-0.425795576,0.002290423,0.002289983,0.071314948,0.071389259,-0.852570766,-3.940957805,-0.887449818,-0.791814434,-0.322389028,0.840177799
CBLM_BA2S,-23.894298,152.404406,-0.019082781,35.524572274266475,35.524424930313856,26.598802231216037,26.595736195768023,-0.001289507,-9.76E-06,-0.001726921,-0.001302229,-1.791585995,4.372006614593761,-0.112550512,35.49515914031109,35.49373590961996,24.52830737,24.52508582913652,-0.005540176,-0.005395377,-0.006632807,-0.010108248,-3.325061596,1.8457888637896573,-0.42635091,0.002293899,0.00229445,0.07147727,0.071512217,-0.727543845,-0.921336681,-0.467013661,-0.583254128,-0.321162302,0.83816946
CBLM_FL1S,-23.884903,152.413621,-0.017980066,35.52164604626644,35.52132962878161,26.596679040728997,26.597117828857584,0.001458105,0.00101936,0.001372014,0.002049783,-1.80320482,4.3669603727892286,-0.111314572,35.49353048066688,35.49169426001606,24.52572330559566,24.525298830279425,-0.003795394,-0.005202147,-0.00913441,-0.009996205,-3.330673581,1.839894137554882,-0.431295444,0.002287808,0.002282389,0.07116844,0.071198791,-1.224637685,-1.135242976,-0.735564745,-0.775117882,-0.319641749,0.8361962689358516
CBLM_FL2S,-23.917571,152.391971,-0.019023415,35.525596817911904,35.52563742630488,26.58830413786596,26.588623350868325,0.03702524,0.040088709,-0.00556926,-0.003201346,-1.759190495,4.384255016915313,-0.113044883,35.49974433091004,35.49688742252464,24.543741227422373,24.541526620314393,0.029605877,0.032708464,-0.013848365,-0.009720038,-3.308550379,1.8596179284749152,-0.426006936,0.002292246,0.002296637,0.071145752,0.071279472,0.2854678456761836,0.28571508326514294,-0.362696937,-0.464987353,-0.325395083,0.843007456
