GBR1_site,decimalLatitude,decimalLongitude,mean_wspeed_u,mean_wspeed_v,mean_wind_speed,sd_wind_speed,cv_wind_speed,min_wind_speed,max_wind_speed,wind_speed_range,wind_vector_magnitude,mean_wind_direction,wind_directional_constancy,wind_directional_variability,predominant_wind_sector,dominant_wind_season,mean_wave_energy_proxy,wind_transport_potential,wind_dispersal_symmetry,wind_retention_potential,wind_exposure_category,wind_seasonal_variability_category,mean_u,mean_v,current_seasonal_variability_category,mean_current_speed,sd_current_speed,cv_current_speed,min_current_speed,max_current_speed,current_speed_range,mean_current_direction,predominant_current_sector,dominant_current_season,current_transport_potential,current_dispersal_symmetry,current_retention_potential,current_exposure_category,current_regime_type
Aken_20_Tydeman,-13.97125049,144.5106013,-5.714265908,3.330419401,6.875804066,3.388952783,0.492880942,0.427570163,11.55300183,11.12543166,6.61396464,120.2347193,0.961918719,0.038081281,SE,Winter,542.3971142,6.61396464,0.168931247,0.005538448,Exposed,High,-0.032773945,-0.014618395,Low,0.04823536,0.025240595,0.523279919,0.00492862,0.161908932,0.156980312,65.96135631,NE,Spring,0.035886334,0.320541087,5.30764243,Low_Flow,Steady_Weak
Aken_21,-18.2781616,147.3793314,-4.669788528,2.21955972,5.438105642,1.787503544,0.328699673,1.147489623,8.7316506,7.584160976,5.170432307,115.4218334,0.950778203,0.049221797,SE,Winter,212.207219,5.170432307,0.141283963,0.009051276,Moderate,High,0.024828226,-0.055017835,Moderate,0.090546145,0.06993779,0.772399417,0.004657575,0.335210622,0.330553046,335.7114878,NW,Spring,0.060360608,0.725794774,3.68178971,High_Flow,Steady_Weak
Aken_21_Lizard,-14.64594358,145.4557404,-4.902626131,4.150875277,6.604413343,3.148335007,0.476701691,0.054069044,11.20892658,11.15485754,6.423823515,130.2533758,0.972656189,0.027343811,SE,Winter,467.605267,6.423823515,0.257674244,0.004140233,Exposed,High,-0.048598005,0.032932233,Moderate,0.076578433,0.038247441,0.499454478,0.006631804,0.141359065,0.13472726,124.1233644,SE,Winter,0.058705179,0.365382615,3.047829566,Moderate_Flow,Steady_Weak
Aken_21_Magnetic,-19.1661696,146.8521408,-3.268787311,0.909796337,3.792586859,0.937016128,0.247065173,1.045436524,6.0816017,5.036165176,3.393036967,105.5533952,0.894649772,0.105350228,E,Autumn,64.37901391,3.393036967,0.138111418,0.027777934,Sheltered,Low,-0.003406644,-6.78E-04,Low,0.003721558,0.001951385,0.524346294,4.59E-04,0.01067336,0.01021456,78.73796277,E,Summer,0.003473529,0.084619017,17.90825615,Low_Flow,Steady_Weak
Aken_21_Orpheus,-18.56381712,146.486584,-3.386547028,1.616886782,4.223632528,1.313577634,0.31100661,1.092230482,7.059607109,5.967376627,3.752735487,115.5218655,0.888508994,0.111491006,SE,Autumn,97.49880959,3.752735487,0.198190892,0.026396948,Sheltered,Moderate,-0.025863427,0.024617561,Low,0.04120654,0.01519611,0.368779084,0.014397288,0.08693201,0.072534722,133.5862331,SE,Autumn,0.035706318,0.372346557,3.239275627,Low_Flow,Steady_Weak
Aken_21_Tydeman,-13.97130481,144.5106534,-5.714269433,3.330464224,6.875823115,3.388958955,0.492880474,0.427540841,11.55299686,11.12545602,6.613990255,120.2350394,0.96191978,0.03808022,SE,Winter,542.4009907,6.613990255,0.168933037,0.005538278,Exposed,High,-0.032714668,-0.014587392,Low,0.048159861,0.025203601,0.523332096,0.004916698,0.161665052,0.156748354,65.96802202,NE,Spring,0.035819569,0.320706756,5.320531016,Low_Flow,Steady_Weak
Aken_22,-18.27814065,147.3793501,-4.669790846,2.219561206,5.438107946,1.787504176,0.32869965,1.147488198,8.731652412,7.584164213,5.170435039,115.4218372,0.950778302,0.049221698,SE,Winter,212.2074768,5.170435039,0.1412839,0.009051254,Moderate,High,0.024819899,-0.055004197,Moderate,0.090531665,0.069927042,0.772404244,0.004659026,0.335167161,0.330508135,335.7133683,NW,Spring,0.060344751,0.7258429,3.683135495,High_Flow,Steady_Weak
Aken_22_Lizard,-14.64609822,145.4557762,-4.902608779,4.150889675,6.604406166,3.148322324,0.476700288,0.054050106,11.20890401,11.15485391,6.423819575,130.2535738,0.97265665,0.02734335,SE,Winter,467.6028077,6.423819575,0.257676064,0.004140168,Exposed,High,-0.048468148,0.032882485,Moderate,0.076402335,0.038156948,0.499421223,0.006624873,0.141025816,0.134400943,124.1543397,SE,Winter,0.058569781,0.365619547,3.054923191,Moderate_Flow,Steady_Weak
Aken_22_Magnetic,-19.16617806,146.8521472,-3.268769068,0.909785332,3.792566067,0.937009,0.247064648,1.045430487,6.081560255,5.036129768,3.393016441,105.5532987,0.894649264,0.105350736,E,Autumn,64.37790956,3.393016441,0.138111503,0.02777822,Sheltered,Low,-0.003406095,-6.78E-04,Low,0.003720968,0.001951018,0.524330788,4.59E-04,0.010671293,0.010212502,78.73774931,E,Summer,0.003472973,0.08462106,17.91147252,Low_Flow,Steady_Weak
Aken_22_Orpheus,-18.56330917,146.4863674,-3.385750685,1.617159917,4.223102952,1.313645102,0.311061586,1.092035136,7.058990556,5.966955419,3.752134579,115.5308687,0.888478122,0.111521878,SE,Autumn,97.47034682,3.752134579,0.198278914,0.026407568,Sheltered,Moderate,-0.025386822,0.024523759,Low,0.040896714,0.015256585,0.3730516,0.014272071,0.087063201,0.072791129,134.0093302,SE,Autumn,0.035297387,0.379245442,3.347796507,Low_Flow,Steady_Weak
