Site,Variable,Latitude,Longitude,overall_mean,overall_median,overall_sd,overall_cv,overall_min,overall_max,overall_range,overall_p25,overall_p75,overall_p95,n_months,n_years,date_start,date_end,variable_type
Amil_20_Magnetic,wspeed_v,-19.16523158,146.8525614,0.9156703087600888,0.8250218712341084,1.7151219103109958,1.8730779996934117,-2.813431148,3.715520851176206,6.528951999176206,-0.367448517,2.393895481484046,3.4174840568018356,110,11,1/12/2014,1/1/2024,wind
Amil_20_Orpheus,u,-18.5688564,146.4907741,-0.023041072,-0.023567745,0.004994391,0.2167603589730459,-0.034223085,-0.00801471,0.026208375,-0.026203039,-0.020365614,-0.014467512,110,11,1/12/2014,1/1/2024,current
Amil_20_Orpheus,v,-18.5688564,146.4907741,0.013011777760416676,0.014344866282448625,0.0123039,0.9455971504197642,-0.019104803,0.037769881,0.056874683999999995,0.003961703,0.021648374,0.031736199506998956,110,11,1/12/2014,1/1/2024,current
Amil_20_Orpheus,wspeed_u,-18.5688564,146.4907741,-3.436523433,-3.429774322,0.9185946719577438,0.26730347975892976,-5.467732621,-1.098504071,4.36922855,-3.975551118,-2.789774736,-2.077361274,110,11,1/12/2014,1/1/2024,wind
Amil_20_Orpheus,wspeed_v,-18.5688564,146.4907741,1.615410498753734,1.4935072841587442,2.165501668043354,1.3405271723280288,-2.756836108,5.413944784155693,8.170780892155694,-0.092649277,3.468978714631854,4.862770741460897,110,11,1/12/2014,1/1/2024,wind
Amil_20_SE_Pelorus,u,-18.55847072,146.4883292,-0.013220354,-0.012813126,0.003992897,0.3020265092428925,-0.023478213,-0.003212528,0.020265685000000002,-0.015748011,-0.010791678,-0.006322093,110,11,1/12/2014,1/1/2024,current
Amil_20_SE_Pelorus,v,-18.55847072,146.4883292,0.023813483942159965,0.027387139407800375,0.022198858114386582,0.932196993,-0.037474078,0.085534307,0.123008385,0.007624524,0.036673347499999995,0.058227546,110,11,1/12/2014,1/1/2024,current
Amil_20_SE_Pelorus,wspeed_u,-18.55847072,146.4883292,-3.370706395,-3.367864715,0.9053093431326623,0.2685814891935938,-5.353358187,-1.083615125,4.269743062000001,-3.911019725,-2.736129725,-2.068083223,110,11,1/12/2014,1/1/2024,wind
Amil_20_SE_Pelorus,wspeed_v,-18.55847072,146.4883292,1.619431965704063,1.4876741397933584,2.166827327314983,1.3380168930856784,-2.757595886,5.427235111930868,8.184830997930867,-0.084782087,3.4703665085305904,4.8659011435333515,110,11,1/12/2014,1/1/2024,wind
Amil_20_Sudbury,u,-16.9957616,146.2710351,-0.016770199,-0.021191593,0.028162970568372817,1.679346198175222,-0.058982382,0.056467357,0.11544973864505764,-0.039447405,0.002879315,0.031109343006724778,110,11,1/12/2014,1/1/2024,current
Amil_20_Sudbury,v,-16.9957616,146.2710351,0.022495258,0.025194815131780908,0.035991673,1.599967091,-0.059611349,0.086638304,0.146249653,-0.004240675,0.052899024,0.075963453,110,11,1/12/2014,1/1/2024,current
Amil_20_Sudbury,wspeed_u,-16.9957616,146.2710351,-3.607702945,-3.768424576,1.241234286120628,0.34405113314304747,-5.910320029,-0.07220221,5.838117819,-4.46855876,-2.948317977,-1.315011481,110,11,1/12/2014,1/1/2024,wind
Amil_20_Sudbury,wspeed_v,-16.9957616,146.2710351,3.633598807547833,3.6786196388167127,2.4043023698089203,0.6616862502306592,-0.974400831,7.9124463492792865,8.886847180279286,1.658923523181285,5.585117809357355,7.374863033713888,110,11,1/12/2014,1/1/2024,wind
Amil_21_Davies,u,-18.83054906,147.6380575,-0.007727331,-0.013428366,0.041123034,5.321764129501294,-0.08524277,0.14791575873337656,0.23315852873337656,-0.038080274,0.02239413,0.054342049249999996,110,11,1/12/2014,1/1/2024,current
