Site Name,k_value_GBR1,lat_GBR1,long_GBR1,mean_temp,sd_temp,skew_temp,kurtosis_temp,MaxMonthMean,mean_duration_DHD,MinMonthMean,mean_duration_DCD,mean_daily_temp_range,mean_annual_temp_range,temporal_autocorr_daily,temporal_autocorr_annual,slope_annual_temp_change
1165,5.35,-9.984904,142.910371,27.89857636735723,1.7527253525020605,-0.120381559,1.7286140830219014,30.137399522070417,20,25.56869242019979,43.66666666666667,0.1956142270375724,5.411974142234244,0.9987618061232096,0.13550634244607995,0.08582647
1169,2.35,-9.984904,142.910371,27.910075636886255,1.7560000292589961,-0.118899272,1.7304647936464486,30.15218771451707,19.88888888888889,25.57727565382748,43.66666666666667,0.2312721148637588,5.456917309974543,0.9987107763996219,0.1417912849997514,0.086581803
1145,5.35,-9.934904,142.920371,27.895187628990136,1.7357319900369113,-0.126215316,1.7420965495451384,30.089984589728797,20.11111111111111,25.602371677854585,38.888888888888886,0.2729503562090281,5.475181414534695,0.9975746127356485,0.15030117037805119,0.088340211
1146,2.35,-9.934904,142.920371,27.922373707878087,1.7418031828396578,-0.124431173,1.7476300795609887,30.12299242,20,25.624004916125042,39.111111111111114,0.3306245175959758,5.558031549909355,0.9974924585651154,0.15978712132150202,0.089575132
1154,5.35,-10.034904,142.925371,27.855761978744702,1.7451954574179322,-0.121253376,1.724343050402141,30.079385802456578,18.666666666666668,25.529570999475812,40,0.16903364501717041,5.317594310599532,0.9990602695309203,0.13946374818479113,0.084466171
2561,5.35,-9.879904,142.925371,27.903860138875803,1.727394010897314,-0.134187051,1.7307542803606404,30.088509684010425,21.77777777777778,25.607352638833593,44.111111111111114,0.22183620166400908,5.311667561095408,0.998702085,0.1533319781894836,0.08883028
1175,5.35,-9.879904,142.935371,27.899196093290453,1.7252178122551436,-0.137051363,1.7302164479819524,30.075629700805816,21.88888888888889,25.60249881959523,44.111111111111114,0.22912028901346712,5.299026657107789,0.9986849858151045,0.15664111359582736,0.088795149
1128,5.35,-9.929904,143.005371,27.86553931509838,1.7134567636491926,-0.144443211,1.7319500429533965,30.00557444198051,22.77777777777778,25.575774345946805,40.44444444444444,0.4046247441603469,5.330421023236878,0.9985211267825477,0.16961222271269338,0.087233957
169,5.35,-9.874904,143.390371,27.67438087637786,1.5574076012341649,-0.171389891,1.7510066417358634,29.598152097621725,27.22222222222222,25.580752573439323,41.888888888888886,0.14333408498475284,4.621821296840139,0.9991376711791594,0.16790660002085328,0.085886666
2512,5.35,-9.869904,143.390371,27.677082034303996,1.5569551569429445,-0.171843094,1.752166494985592,29.599110204512066,26.666666666666664,25.583692000718283,41.77777777777778,0.14113969215747837,4.624274769084951,0.9991264403556708,0.16805565544795018,0.085935214
2526,5.35,-9.879904,143.395371,27.673576130267506,1.5567656359947655,-0.17201352,1.750242121494883,29.596002733500562,27.333333333333336,25.581031963231126,41.44444444444444,0.13819485585733482,4.608972585314586,0.9991619,0.1685045418100816,0.085957755
