projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECT1,Ahya,Reef21-550,-21.95539883,152.2969731,-1.8,Ahya_10a
ECT1,Ahya,Reef21-550,-21.95540839,152.2969889,-1.8,Ahya_11a
ECT1,Ahya,Reef21-550,-21.95582304,152.2968107,-1.8,Ahya_15a
ECT1,Ahya,Pelorus,-18.55753513,146.5031803,-1.8,Ahya_224
ECT1,Ahya,Reef21-550,-21.96296987,152.3072471,-1.7,Ahya_33a
ECT1,Ahya,Reef21-550,-21.96297674,152.3072568,-1.6,Ahya_31a
ECT1,Ahya,Reef21-550,-21.95577669,152.296778,-1.6,Ahya_13a
ECT1,Ahya,Reef21-550,-21.9558999,152.2968738,-1.6,Ahya_34a
ECT1,Ahya,Reef21-550,-21.95601197,152.2968814,-1.6,Ahya_35a
ECT1,Ahya,Reef21-550,-21.95617022,152.2967376,-1.6,Ahya_36a
ECT1,Ahya,Reef21-550,-21.95621942,152.2967232,-1.6,Ahya_37a
ECT1,Ahya,Reef21-550,-21.9546624,152.2972206,-1.6,Ahya_48a
ECT1,Ahya,Reef21-550,-21.95452242,152.2971737,-1.6,Ahya_50a
ECT1,Ahya,Reef21-550,-21.96297968,152.3072604,-1.5,Ahya_32a
ECT1,Ahya,Reef21-550,-21.95462669,152.2971707,-1.3,Ahya_49a
ECT1,Aspat,Heron,-23.43966725,151.9795826,-1.3,Aspat_1727
ECT1,Ahya,East_Cay,-21.47047782,152.5653211,1.3,Ahya_70a
ECT1,Ahya,Lady_Musgrave,-23.90718332,152.3868906,1.3,Ahya_101a
ECT1,Ahya,Lady_Musgrave,-23.90718978,152.3869184,1.3,Ahya_79a
ECT1,Ahya,Lady_Musgrave,-23.90720923,152.3869045,1.3,Ahya_97a
ECT1,Ahya,Lady_Musgrave,-23.90721786,152.3869001,1.3,Ahya_98a
ECT1,Ahya,Sykes,-23.44464317,152.0246978,1.3,Ahya_144a
ECT1,Ahya,Kelso,-18.424069,146.9843132,1.3,Ahya_192
ECT1,Ahya,Kelso,-18.4233821,146.9853064,1.3,Ahya_194
ECT1,Ahya,Kelso,-18.42330264,146.985242,1.3,Ahya_195
ECT1,Ahya,Kelso,-18.42325914,146.985202,1.3,Ahya_196
ECT1,Ahya,Kelso,-18.4241125,146.9865726,1.3,Ahya_220
ECT1,Ahya,Moore,-16.84582846,146.2317312,1.3,Ahya_387
ECT1,Ahya,Moore,-16.8458288,146.231748,1.3,Ahya_388
ECT1,Ahya,Moore,-16.84593684,146.2318091,1.3,Ahya_397
ECT1,Ahya,Moore,-16.84608294,146.2323796,1.3,Ahya_414
ECT1,Ahya,Moore,-16.84601814,146.2321845,1.3,Ahya_421
ECT1,Aspat,No_Name,-14.651076,145.638429,1.3,Aspat_602
ECT1,Aspat,No_Name,-14.65106,145.638459,1.3,Aspat_644
ECT1,Aspat,St_Crispin,-16.072879,145.84386,1.3,Aspat_761
ECT1,Aspat,St_Crispin,-16.072899,145.843973,1.3,Aspat_764
ECT1,Aspat,Kelso,-18.423708,146.985631,1.3,Aspat_943
ECT1,Aspat,Chicken,-18.670069,147.707557,1.3,Aspat_1000
ECT1,Aspat,Chicken,-18.669934,147.707631,1.3,Aspat_1502
ECT1,Aspat,Chicken,-18.669833,147.707649,1.3,Aspat_1505
ECT1,Aspat,Chicken,-18.670071,147.707474,1.3,Aspat_997
ECT1,Aspat,Davies,-18.825883,147.626682,1.3,Aspat_1556
ECT1,Aspat,Davies,-18.825289,147.626655,1.3,Aspat_1591
ECT1,Aken,Fitzroy_Island,-16.93975758,145.9831522,1.3,Aken_1049
ECT1,Aken,Fitzroy_Island,-16.93994475,145.9833414,1.3,Aken_1055
ECT1,Aken,Fitzroy_Island,-16.94005019,145.9833428,1.3,Aken_1058
ECT1,Aken,Fitzroy_Island,-16.94008674,145.9834756,1.3,Aken_1059
ECT1,Aken,Fitzroy_Island,-16.94010752,145.9834869,1.3,Aken_1060
ECT1,Aken,Moore,-16.88712954,146.1867041,1.3,Aken_1089
ECT1,Aken,Moore,-16.88712358,146.1876127,1.3,Aken_1105
ECT1,Aken,Mackay,-16.03890013,145.6510103,1.3,Aken_1111
ECT1,Ahya,Tydeman,-13.971724,144.501924,1.3,Ahya_17_Tydeman
ECT1,Aken,North_Direction,-14.74303979,145.5130851,1.3,Aken_1368
ECT1,Aken,North_Direction,-14.74296184,145.5129314,1.3,Aken_1419
ECT1,Ahya,Kelso,-18.445958,146.9910534,1.3,Ahya_14_Kelso
ECT1,Ahya,Kelso,-18.446201,146.9912373,1.3,Ahya_9_Kelso
ECT1,Aken,Orpheus,-18.56333859,146.4864204,1.3,Aken_29_Orpheus
ECT1,Ahya,Pelorus,-18.537601,146.4946002,1.3,Ahya_1848_Pelorus 
ECT1,Ahya,Reef21-550,-21.96292494,152.3072086,1.4,Ahya_22a
ECT1,Ahya,Lady_Musgrave,-23.90717134,152.3868998,1.4,Ahya_102a
ECT1,Ahya,Lady_Musgrave,-23.90719078,152.3869172,1.4,Ahya_77a
ECT1,Ahya,Lady_Musgrave,-23.90718517,152.386885,1.4,Ahya_99a
ECT1,Ahya,Hicks,-14.42893015,145.4520797,1.4,Ahya_7b
ECT1,Ahya,Hicks,-14.47510731,145.5023146,1.4,Ahya_43b
ECT1,Ahya,No_Name,-14.65082838,145.6385369,1.4,Ahya_97b
ECT1,Ahya,Kelso,-18.4237597,146.9865089,1.4,Ahya_216
ECT1,Ahya,Kelso,-18.42376666,146.9865154,1.4,Ahya_217
ECT1,Ahya,Kelso,-18.42394461,146.9865131,1.4,Ahya_218
ECT1,Ahya,Fitzroy_Island,-16.94063701,145.9948087,1.4,Ahya_361
ECT1,Ahya,Moore,-16.84571799,146.2316679,1.4,Ahya_380
ECT1,Aspat,Hicks,-14.47463,145.503245,1.4,Aspat_468
ECT1,Aspat,Hicks,-14.475189,145.502344,1.4,Aspat_474
ECT1,Aspat,No_Name,-14.650916,145.638216,1.4,Aspat_633
ECT1,Aspat,No_Name,-14.650912,145.638227,1.4,Aspat_634
ECT1,Aspat,Fitzroy_Island,-16.940656,145.994752,1.4,Aspat_843
ECT1,Aspat,Fitzroy_Island,-16.940642,145.994744,1.4,Aspat_844
ECT1,Aspat,Pelorus,-18.557973,146.502883,1.4,Aspat_917
ECT1,Aspat,Pelorus,-18.558121,146.502765,1.4,Aspat_930
ECT1,Aspat,Chicken,-18.669939,147.705889,1.4,Aspat_1531
ECT1,Aspat,Chicken,-18.670025,147.705901,1.4,Aspat_1535
ECT1,Aspat,Lady_Musgrave,-23.90769848,152.3866834,1.4,Aspat_1620
ECT1,Aken,Fitzroy_Island,-16.93949279,145.9830416,1.4,Aken_1040
ECT1,Aken,Fitzroy_Island,-16.93970125,145.983102,1.4,Aken_1045
ECT1,Aken,Fitzroy_Island,-16.93977174,145.9831621,1.4,Aken_1050
ECT1,Aken,St_Crispin,-16.07519796,145.8441032,1.4,Aken_1209
ECT1,Ahya,Tydeman,-13.971071,144.5027078,1.4,Ahya_32_Tydeman
ECT1,Ahya,Martin,-14.779989,145.3594272,1.4,Ahya_1300
ECT1,Aken,MacGillivray,-14.64120302,145.4914994,1.4,Aken_491
ECT1,Aken,No_Name,-14.65112376,145.6382704,1.4,Aken_1301
ECT1,Aken,No_Name,-14.65100516,145.6384946,1.4,Aken_1307
ECT1,Aken,No_Name,-14.65159868,145.6392488,1.4,Aken_1356
ECT1,Aken,No_Name,-14.65152978,145.6392287,1.4,Aken_1358
ECT1,Ahya,Lizard,-14.645972,145.4553634,1.4,Ahya_18_Lizard
ECT1,Ahya,Lizard,-14.645823,145.4553902,1.4,Ahya_2_Lizard
ECT1,Ahya,Lizard,-14.645833,145.4553826,1.4,Ahya_3_Lizard
ECT1,Aken,Lizard,-14.64601289,145.4552799,1.4,Aken_10_Lizard
ECT1,Aken,North_Direction,-14.74295162,145.5129827,1.4,Aken_1444
ECT1,Aken,Lizard,-14.64608615,145.4554204,1.4,Aken_15_Lizard
ECT1,Aken,Lizard,-14.64609529,145.455511,1.4,Aken_16_Lizard
ECT1,Aken,Lizard,-14.64627282,145.4561539,1.4,Aken_28_Lizard
ECT1,Ahya,Kelso,-18.445928,146.9910529,1.4,Ahya_17_Kelso
ECT1,Ahya,Kelso,-18.446074,146.9910707,1.4,Ahya_21_Kelso
ECT1,Aken,Kelso,-18.42372215,146.9858316,1.4,Aken_1500
ECT1,Aken,Kelso,-18.42406514,146.9866729,1.4,Aken_1818
ECT1,Ahya,Chicken,-18.654459,147.7092164,1.4,Ahya_4_Chicken
ECT1,Aken,Davies,-18.82659473,147.626247,1.4,Aken_2035
ECT1,Ahya,Lady_Musgrave,-23.90711007,152.3869808,1.5,Ahya_106a
ECT1,Ahya,Hicks,-14.47447498,145.5033838,1.5,Ahya_24b
ECT1,Ahya,No_Name,-14.65083743,145.6385368,1.5,Ahya_98b
ECT1,Ahya,Moore,-16.84569184,146.2316815,1.5,Ahya_379
ECT1,Ahya,Moore,-16.84572528,146.2316915,1.5,Ahya_382
ECT1,Ahya,Moore,-16.84574883,146.2317189,1.5,Ahya_383
ECT1,Ahya,Moore,-16.84588412,146.2317524,1.5,Ahya_394
ECT1,Ahya,Moore,-16.84591463,146.2317948,1.5,Ahya_398
ECT1,Ahya,Moore,-16.84587733,146.2321133,1.5,Ahya_406
ECT1,Ahya,Moore,-16.84615687,146.2323497,1.5,Ahya_415
ECT1,Aspat,No_Name,-14.65091,145.638211,1.5,Aspat_632
ECT1,Aspat,No_Name,-14.651094,145.638389,1.5,Aspat_648
ECT1,Aspat,Pelorus,-18.558624,146.502464,1.5,Aspat_911
ECT1,Aspat,Pelorus,-18.558021,146.502882,1.5,Aspat_913
ECT1,Aspat,Kelso,-18.423753,146.985555,1.5,Aspat_942
ECT1,Aspat,Chicken,-18.669605,147.706998,1.5,Aspat_1510
ECT1,Aspat,Chicken,-18.669945,147.707441,1.5,Aspat_991
ECT1,Aspat,Chicken,-18.670052,147.707458,1.5,Aspat_996
ECT1,Aspat,Davies,-18.82594,147.626663,1.5,Aspat_1558
ECT1,Aspat,Lady_Musgrave,-23.90766101,152.3866995,1.5,Aspat_1619
ECT1,Aken,Fitzroy_Island,-16.93933412,145.9829962,1.5,Aken_1003
ECT1,Aken,Fitzroy_Island,-16.93992471,145.9832877,1.5,Aken_1053
ECT1,Aken,Moore,-16.88715862,146.1867595,1.5,Aken_1090
ECT1,Aken,Moore,-16.88717522,146.18682,1.5,Aken_1091
ECT1,Aken,Moore,-16.8870168,146.1872321,1.5,Aken_1100
ECT1,Aken,Moore,-16.88706458,146.1874327,1.5,Aken_1102
ECT1,Aken,Mackay,-16.03874188,145.6511755,1.5,Aken_1108
ECT1,Aken,St_Crispin,-16.07494969,145.8440949,1.5,Aken_1133
ECT1,Aken,St_Crispin,-16.07519654,145.8441776,1.5,Aken_1208
ECT1,Ahya,Tydeman,-13.971349,144.5023803,1.5,Ahya_12_Tydeman
ECT1,Ahya,Tydeman,-13.971093,144.5026759,1.5,Ahya_34_Tydeman
ECT1,Aken,Martin,-14.78048821,145.3582649,1.5,Aken_1229
ECT1,Aken,Martin,-14.7801681,145.3583618,1.5,Aken_1232
ECT1,Aken,No_Name,-14.65090784,145.6382346,1.5,Aken_1329
ECT1,Aken,No_Name,-14.65085286,145.6393053,1.5,Aken_1351
