name,lat,lon
Ahya_10a,-21.95539883,152.2969731
Ahya_11a,-21.95540839,152.2969889
Ahya_15a,-21.95582304,152.2968107
Ahya_224,-18.55753513,146.5031803
Ahya_33a,-21.96296987,152.3072471
Ahya_31a,-21.96297674,152.3072568
Ahya_13a,-21.95577669,152.296778
Ahya_34a,-21.9558999,152.2968738
Ahya_35a,-21.95601197,152.2968814
Ahya_36a,-21.95617022,152.2967376
Ahya_37a,-21.95621942,152.2967232
Ahya_48a,-21.9546624,152.2972206
Ahya_50a,-21.95452242,152.2971737
Ahya_32a,-21.96297968,152.3072604
Ahya_49a,-21.95462669,152.2971707
Aspat_1727,-23.43966725,151.9795826
Ahya_70a,-21.47047782,152.5653211
Ahya_101a,-23.90718332,152.3868906
Ahya_79a,-23.90718978,152.3869184
Ahya_97a,-23.90720923,152.3869045
Ahya_98a,-23.90721786,152.3869001
Ahya_144a,-23.44464317,152.0246978
Ahya_192,-18.424069,146.9843132
Ahya_194,-18.4233821,146.9853064
Ahya_195,-18.42330264,146.985242
Ahya_196,-18.42325914,146.985202
Ahya_220,-18.4241125,146.9865726
Ahya_387,-16.84582846,146.2317312
Ahya_388,-16.8458288,146.231748
Ahya_397,-16.84593684,146.2318091
Ahya_414,-16.84608294,146.2323796
Ahya_421,-16.84601814,146.2321845
Aspat_602,-14.651076,145.638429
Aspat_644,-14.65106,145.638459
Aspat_761,-16.072879,145.84386
Aspat_764,-16.072899,145.843973
Aspat_943,-18.423708,146.985631
Aspat_1000,-18.670069,147.707557
Aspat_1502,-18.669934,147.707631
Aspat_1505,-18.669833,147.707649
Aspat_997,-18.670071,147.707474
Aspat_1556,-18.825883,147.626682
Aspat_1591,-18.825289,147.626655
Aken_1049,-16.93975758,145.9831522
Aken_1055,-16.93994475,145.9833414
Aken_1058,-16.94005019,145.9833428
Aken_1059,-16.94008674,145.9834756
Aken_1060,-16.94010752,145.9834869
Aken_1089,-16.88712954,146.1867041
Aken_1105,-16.88712358,146.1876127
Aken_1111,-16.03890013,145.6510103
Ahya_17_Tydeman,-13.971724,144.501924
Aken_1368,-14.74303979,145.5130851
Aken_1419,-14.74296184,145.5129314
Ahya_14_Kelso,-18.445958,146.9910534
Ahya_9_Kelso,-18.446201,146.9912373
Aken_29_Orpheus,-18.56333859,146.4864204
Ahya_1848_Pelorus ,-18.537601,146.4946002
Ahya_22a,-21.96292494,152.3072086
Ahya_102a,-23.90717134,152.3868998
Ahya_77a,-23.90719078,152.3869172
Ahya_99a,-23.90718517,152.386885
Ahya_7b,-14.42893015,145.4520797
Ahya_43b,-14.47510731,145.5023146
Ahya_97b,-14.65082838,145.6385369
Ahya_216,-18.4237597,146.9865089
Ahya_217,-18.42376666,146.9865154
Ahya_218,-18.42394461,146.9865131
Ahya_361,-16.94063701,145.9948087
Ahya_380,-16.84571799,146.2316679
Aspat_468,-14.47463,145.503245
Aspat_474,-14.475189,145.502344
Aspat_633,-14.650916,145.638216
Aspat_634,-14.650912,145.638227
Aspat_843,-16.940656,145.994752
Aspat_844,-16.940642,145.994744
Aspat_917,-18.557973,146.502883
Aspat_930,-18.558121,146.502765
Aspat_1531,-18.669939,147.705889
Aspat_1535,-18.670025,147.705901
Aspat_1620,-23.90769848,152.3866834
Aken_1040,-16.93949279,145.9830416
Aken_1045,-16.93970125,145.983102
Aken_1050,-16.93977174,145.9831621
Aken_1209,-16.07519796,145.8441032
Ahya_32_Tydeman,-13.971071,144.5027078
Ahya_1300,-14.779989,145.3594272
Aken_491,-14.64120302,145.4914994
Aken_1301,-14.65112376,145.6382704
Aken_1307,-14.65100516,145.6384946
Aken_1356,-14.65159868,145.6392488
Aken_1358,-14.65152978,145.6392287
