projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECT1,Aspat,Heron,-23.43977496,151.9797213,-0.8,Aspat_1724
ECT1,Aspat,Heron,-23.43961998,151.9797301,-0.8,Aspat_1728
ECT1,Aspat,Heron,-23.43963532,151.9797716,-0.8,Aspat_1731
ECT1,Aspat,Heron,-23.43925687,151.9821311,-0.8,Aspat_1745
ECT1,Aspat,Heron,-23.43952434,151.9828049,-0.8,Aspat_1754
ECT1,Aspat,Heron,-23.43952711,151.9827924,-0.8,Aspat_1755
ECT1,Aspat,Heron,-23.43953029,151.9828023,-0.8,Aspat_1756
ECT1,Aspat,Heron,-23.4395168,151.9827985,-0.8,Aspat_1757
ECT1,Aspat,Heron,-23.43949375,151.9827862,-0.8,Aspat_1758
ECT1,Aspat,Heron,-23.44028508,151.9801782,-0.8,Aspat_1770
ECT1,Ahya,Mackay,-16.03819295,145.6519614,-0.7,Ahya_282
ECT1,Aspat,North_Direction,-14.743062,145.512844,-0.7,Aspat_506
ECT1,Ahya,Mackay,-16.03821709,145.6518557,-0.7,Ahya_795
ECT1,Aspat,Mackay,-16.038871,145.651172,-0.7,Aspat_687
ECT1,Aspat,Mackay,-16.038882,145.65113,-0.7,Aspat_690
ECT1,Aspat,Mackay,-16.03891,145.651106,-0.7,Aspat_696
ECT1,Aspat,St_Crispin,-16.07507,145.844414,-0.7,Aspat_717
ECT1,Aspat,St_Crispin,-16.075094,145.844439,-0.7,Aspat_719
ECT1,Aspat,St_Crispin,-16.07525,145.844473,-0.7,Aspat_730
ECT1,Aspat,St_Crispin,-16.075248,145.84441,-0.7,Aspat_735
ECT1,Aspat,St_Crispin,-16.075279,145.844342,-0.7,Aspat_741
ECT1,Aspat,St_Crispin,-16.075276,145.844343,-0.7,Aspat_742
ECT1,Aspat,St_Crispin,-16.075311,145.844421,-0.7,Aspat_744
ECT1,Aspat,St_Crispin,-16.075359,145.844379,-0.7,Aspat_746
ECT1,Aspat,St_Crispin,-16.075396,145.844331,-0.7,Aspat_748
ECT1,Aspat,St_Crispin,-16.075353,145.844284,-0.7,Aspat_751
ECT1,Aspat,Lady_Musgrave,-23.90830969,152.3865203,-0.7,Aspat_1606
ECT1,Aspat,Fitzroy_Reef,-23.61330198,152.1548048,-0.7,Aspat_1673
ECT1,Aspat,Fitzroy_Reef,-23.61333735,152.1547489,-0.7,Aspat_1674
ECT1,Aspat,Fitzroy_Reef,-23.61333995,152.1546884,-0.7,Aspat_1675
ECT1,Aspat,Fitzroy_Reef,-23.61333442,152.1546905,-0.7,Aspat_1676
ECT1,Aspat,Fitzroy_Reef,-23.613377,152.1546883,-0.7,Aspat_1677
ECT1,Aspat,Fitzroy_Reef,-23.61338505,152.1546684,-0.7,Aspat_1678
ECT1,Aspat,Fitzroy_Reef,-23.61339368,152.1546109,-0.7,Aspat_1679
