Date,Variable,Site,Latitude,Longitude,mean,median,p5,p95,lowest,highest
1/12/2020,wspeed_v,TSDU_FR1S,-9.9312,143.00543,1.317926821470223,1.327504737103999,-2.446360182,4.685167520162449,-5.377178284,5.845707963770013
1/12/2020,wspeed_v,TSDU_FR2S,-10.03707,142.926535,1.311660510044208,1.3915806797094081,-2.622334385,4.727046922549671,-5.589843244,6.0187990134303195
1/12/2020,wspeed_v,TSDU_LA1S,-9.934095,142.922705,1.2947113887455501,1.346538671652444,-2.455245871,4.629950247762389,-5.581462261,5.897672762048863
1/12/2020,wspeed_v,TSMA_BA1D,-9.748695,143.399805,1.414202493062392,1.445257297,-2.359911931,4.778066564749156,-4.540618059,5.808797127759417
1/12/2020,wspeed_v,TSMA_BA1S,-9.748895,143.399825,1.4142085502296236,1.445313613193177,-2.359915157,4.778121200445571,-4.540676979,5.808780845903639
1/12/2020,wspeed_v,TSMA_BA2D,-9.74409,143.41574,1.4184439795252544,1.445308357712697,-2.289356385,4.785896342494707,-4.526511239,5.8134979006991765
1/12/2020,wspeed_v,TSMA_BA2S,-9.7442395,143.415763,1.418605236804339,1.4473088155858647,-2.289172335,4.790058990811854,-4.527933461,5.813003108441225
1/12/2020,wspeed_v,TSMA_FL1S,-9.759895,143.39796,1.4133737680147251,1.4426350416798106,-2.347049029,4.794461808378125,-4.551826543,5.805682875177294
1/12/2020,wspeed_v,TSMA_FR1D,-9.763955,143.417,1.4182668336722406,1.463657686481314,-2.319322579,4.806113115147659,-4.545322094,5.806488999485918
1/12/2020,wspeed_v,TSMA_FR1S,-9.76224,143.421395,1.4203142602778427,1.4726928897281435,-2.315858729,4.80085,-4.540200618,5.80755538
1/12/2020,wspeed_v,TSMA_FR2D,-9.74637,143.46012,1.4311651812999944,1.4905538559436435,-2.309876822,4.787859240679094,-4.503591045,5.820893835730805
1/12/2020,wspeed_v,TSMA_FR2S,-9.74838,143.458505,1.430808308840789,1.4904157079712541,-2.311452391,4.788693975574085,-4.506587126,5.819257628292635
1/12/2020,wspeed_v,TSMA_LA1S,-9.73404,143.43519,1.424164550049262,1.4721732834177408,-2.310024846,4.786985889480834,-4.508040239,5.821054720799011
1/12/2020,wspeed_v,ONMO_BA1S,-16.8472105,146.217424,1.0584777046007277,1.4166229307578804,-4.719673995,6.287144721913251,-6.236034117,8.476140089329034
1/12/2020,wspeed_v,ONMO_FL1S,-16.8485425,146.237223,1.0224318859114705,1.3747019530056848,-4.697715564,6.249807741948814,-6.254034275,8.365678474162918
1/12/2020,wspeed_v,ONMO_FR1D,-16.872083,146.2536695,0.9864044891335136,1.343731727627953,-4.741962107,6.175593911,-6.341962012,8.311814102054132
1/12/2020,wspeed_v,ONMO_FR1S,-16.872041,146.2536145,0.9864346340035824,1.3437640863026628,-4.741924361,6.175640577,-6.341924266,8.311871628764841
1/12/2020,wspeed_v,ONMO_FR2D,-16.8830355,146.244797,0.9938119733767389,1.3591959019014226,-4.778769301,6.167832653348365,-6.372470167,8.344516252
1/12/2020,wspeed_v,ONMO_FR2S,-16.882674,146.244602,0.9940798590734484,1.3594195046401951,-4.778260834,6.168416256408178,-6.371792428,8.344859942387828
1/12/2020,wspeed_v,ONMO_FL1D,-16.8484505,146.2372885,1.022425021566902,1.3745205771136977,-4.697722354,6.24987216,-6.253887363,8.365593068700905
1/12/2020,wspeed_v,ONMO_LA1S,-16.859841,146.2256785,1.0405536305672132,1.3911423850409756,-4.728351419,6.252319060221478,-6.282088751,8.426238051470975
1/12/2020,wspeed_v,ONMO_LA1D,-16.8599245,146.2257455,1.0404544822196062,1.390456507710506,-4.728405619,6.252164018775332,-6.282243963,8.426032915045857
1/12/2020,wspeed_v,ONMO_BA1D,-16.8471725,146.2174315,1.05848568,1.4166182086632053,-4.719687562,6.2871821572831275,-6.23596001,8.476125615811059
1/12/2020,wspeed_v,ONMO_BA2D,-16.881947,146.1837795,1.1082074761752334,1.4651313406956195,-4.734671479,6.4455725559369235,-6.334671384,8.865012543
1/12/2020,wspeed_v,ONMO_BA2S,-16.8820015,146.183993,1.1080602772301025,1.4652503300861868,-4.734704622,6.445032312489671,-6.334704527,8.864146276258943
1/12/2020,wspeed_v,ONLI_FR1S,-14.6912735,145.4693795,1.701959040255505,1.6915475671622493,-3.466863918,5.8660481957480854,-5.063393467,7.599999904632568
1/12/2020,wspeed_v,ONLI_FL1S,-14.6980975,145.445447,1.7135662172391999,1.7081250681575892,-3.477552886,5.915235291,-5.092090521,7.649345904921979
1/12/2020,wspeed_v,ONLI_FR2S,-14.649439,145.492935,1.7139914320979648,1.719946789901705,-3.389232324,5.779787015506067,-4.979787102,7.599999904632568
1/12/2020,wspeed_v,ONLI_LA1S,-14.6877065,145.465276,1.7015348861297133,1.6973835335187444,-3.460093742,5.864815943251328,-5.063717101,7.601601545955689
1/12/2020,wspeed_v,ONLI_BA1D,-14.65072495,145.4502155,1.7089091652315398,1.7002769728648268,-3.389775207,5.833260132733551,-5.002196981,7.628263127813011
1/12/2020,wspeed_v,ONLI_BA1S,-14.650714,145.450096,1.7089429669488945,1.700218541697345,-3.389719042,5.833445655903759,-5.002268974,7.628417621873009
1/12/2020,wspeed_v,ONLI_BA2S,-14.667794,145.441894,1.7197591249685598,1.7329191993641169,-3.432402757,5.8981743147004275,-5.046964234,7.672569623860682
1/1/2021,wspeed_v,ONLI_LO1S,-14.6835,145.450361,2.1276918014116433,2.059673786,-5.21900572,9.158325862,-10.94428573,10.984725136869246
1/1/2021,wspeed_v,ONLI_CL1S,-14.663694,145.451111,no data,no data,no data,no data,no data,no data
1/1/2021,wspeed_v,ONLI_NT1D,-14.646028,145.453583,2.0769078936764775,1.9938370273768315,-5.136666348,9.119813374,-10.844799,10.948604262148192
1/1/2021,wspeed_v,ONLI_NT1S,-14.646083,145.45375,2.076792502492639,1.9938693370131084,-5.136523225,9.119551074113872,-10.84460648,10.948527230196143
1/1/2021,wspeed_v,ONLI_BV1S,-14.684389,145.44,2.1394179624672836,2.1095030006980484,-5.193863228,9.187834682258506,-10.94940594,10.990463078973104
1/1/2021,wspeed_v,ONLI_RE1S,-14.679194,145.443583,2.1326861056192965,2.086777609564331,-5.204110111,9.199130866333784,-10.93886531,10.985929098709663
1/1/2021,wspeed_v,ONLI_LA2S,-14.686861,145.454972,2.127199894,2.063313014920381,-5.223621935,9.131960654165896,-10.95040097,10.984518247160661
1/1/2021,wspeed_v,ONLI_TA1S,-14.685111,145.466972,2.1205655947484447,2.0824619970056664,-5.256997028,9.125853494423113,-10.9502345,10.957204330218245
1/1/2021,wspeed_v,ONLI_PA1S,-14.696806,145.449889,2.141835863044596,2.086083404456627,-5.200594691,9.158380146,-10.97281681,10.994086400240908
1/1/2021,wspeed_v,ONLI_CN1S,-14.658139,145.451583,2.0866095428704865,2.0016985558659237,-5.14684314,9.143706671404066,-10.85937196,10.954373750683347
1/1/2021,wspeed_v,CBLM_BA1S,-23.900155,152.393624,3.828480434547237,3.900000095367432,-2.050163159,10.424905847042249,-4.970936252,12.109319703734268
1/1/2021,wspeed_v,CBLM_BA2S,-23.894298,152.404406,3.8279883668261148,3.900000095367433,-2.025333169,10.406830222649573,-4.945495006,12.06057126539945
1/1/2021,wspeed_v,CBLM_FL1S,-23.884903,152.413621,3.8283791333013673,3.9000000953674316,-1.985766257,10.390019828101742,-4.917569896,12.020295738911155
1/1/2021,wspeed_v,CBLM_FL2S,-23.917571,152.391971,3.8263313393425182,3.900000095367431,-2.103384246,10.443522556072619,-5.009260682,12.167302330178048
1/1/2021,wspeed_v,CBLM_LA1S,-23.896147,152.413821,3.8265585778257782,3.9000000953674316,-2.026139584,10.40195502663516,-4.940822449,12.040814583276537
