Aggregated Date/Time,Variable,Depth,Site Name,Latitude,Longitude,mean,median,p5,p95,lowest,highest
2014-12-01T00:00,NH4,-3,ONLI_LO1S,-14.6835,145.450361,0.16440387289773223,0.042660405538223506,0.017216926,0.4713938346491946,0.016587622876425276,0.5310544285169904
2014-12-01T00:00,NH4,-3,ONLI_CL1S,-14.663694,145.451111,0.17563370814099633,0.053829634,0.018554043328112432,0.48184589808384687,0.016756414779213875,0.5541766213709778
2014-12-01T00:00,NH4,-3,ONLI_NT1D,-14.646028,145.453583,0.18346077269066827,0.076376345,0.018508298,0.4823372572831647,0.016922402302457312,0.5696816083377589
2014-12-01T00:00,NH4,-3,ONLI_NT1S,-14.646083,145.45375,0.18348403072296413,0.076493434,0.018506683749328783,0.48234114175856824,0.016922083881105377,0.5695854674823493
2014-12-01T00:00,NH4,-3,ONLI_BV1S,-14.684389,145.44,0.15732333198168996,0.042241829,0.016711747409248568,0.46520282261486817,0.016440934549366612,0.5237432436885318
2014-12-01T00:00,NH4,-3,ONLI_RE1S,-14.679194,145.443583,0.16275068846825297,0.042345946,0.016677635,0.46766403093077896,0.016209393320746644,0.5371398319376949
2014-12-01T00:00,NH4,-3,ONLI_LA2S,-14.686861,145.454972,0.16539600757801887,0.041798484,0.017226313972425883,0.4729709360318445,0.016650535781330474,0.5306388447800251
2014-12-01T00:00,NH4,-3,ONLI_TA1S,-14.685111,145.466972,0.17359228762405834,0.047112822,0.018731963862360177,0.4883877618489674,0.017117056,0.5409323545680506
2014-12-01T00:00,NH4,-3,ONLI_PA1S,-14.696806,145.449889,0.16088517436247568,0.037359816657989826,0.017164132,0.47392140439346964,0.015707574855608687,0.5325317829391288
2014-12-01T00:00,NH4,-3,ONLI_CN1S,-14.658139,145.451583,0.1802832376260929,0.071082983,0.018408255,0.48063442073539026,0.016800165290337097,0.5626572096472511
2014-12-01T00:00,NH4,-3,CBLM_BA1S,-23.900155,152.393624,0.047135599,0.046950739526192733,0.032125727,0.065420167,0.028529349231865855,0.077932047
2014-12-01T00:00,NH4,-3,CBLM_BA2S,-23.894298,152.404406,0.046718618,0.047086385226765545,0.031449389,0.062754757,0.028358922339392887,0.072081848
2014-12-01T00:00,NH4,-3,CBLM_FL1S,-23.884903,152.413621,0.045449193,0.046277213,0.030790362626828813,0.060943911186596374,0.028135720940583926,0.061174303
2014-12-01T00:00,NH4,-3,CBLM_FL2S,-23.917571,152.391971,0.049777751,0.047885607,0.032551459,0.082925964,0.028308653768116154,0.1021615269632096
2014-12-01T00:00,NH4,-3,CBLM_LA1S,-23.896147,152.413821,0.046611602,0.047054348,0.031266833,0.063016389,0.028330421,0.070774604
2014-12-01T00:00,NH4,-3,KEGK_BA1S,-23.1965435,150.9368275,0.016533564921016524,0.015573356,0.012183890218230105,0.022618065,0.011647668039383911,0.022691618
2014-12-01T00:00,NH4,-3,KEHW_BA1S,-23.2018935,150.966579,0.016750744,0.015890946476988545,0.012390133,0.023188183355941833,0.011818765269973289,0.023440137749131323
2014-12-01T00:00,NH4,-3,KEML_BA1S,-23.150495,150.90294,0.016404893192480167,0.016279509549004097,0.012378657765921777,0.021460346,0.012113757257318168,0.022250661857461405
2014-12-01T00:00,NH4,-3,KEMD_BA1S,-23.1619975,150.9208225,0.016291782451948355,0.016285876242914395,0.012268084120381044,0.021786214,0.011905830960675084,0.021920578
2014-12-01T00:00,NH4,-3,KENK_BA1S,-23.0843065,150.885571,0.016352437,0.015895062083655005,0.013308431152333034,0.022099049932744787,0.012602801935478669,0.023571123
2014-12-01T00:00,NH4,-3,CBHE_BA1D,-23.428043,151.952453,0.037708975,0.035949285,0.032013639,0.049187607932548866,0.031592476,0.049916460673927576
