name,lat,lon
CBLM_BA1S_P23,-23.90031025,152.3934798
ONMO_LA1S,-16.859841,146.2256785
ONLI_FR2S_P4,-14.649287,145.4927845
TSMA_BA1S_P4,-9.749119759,143.3996124
CBLM_BA2S_P1,-23.8943045,152.4043745
CBHE_BA2S_P4,-23.4340385,151.920667
ONMO_LA1S_P3,-16.8598625,146.2258965
OCLB_FL1S_P2,-18.943966,147.699309
OCLB_BA1S_P2,-18.9492785,147.693012
ONMO_FL1S_P1,-16.8486695,146.237388
ONLI_FL1S_P1,-14.697944,145.4452925
ONLI_FL1S_P3,-14.698135,145.445475
Aspat_1551,-18.825865,147.626609
Aken_11_Tydeman,-13.97109333,144.5101069
Aken_13_Tydeman,-13.97111789,144.5101178
Aken_1266,-14.78023273,145.3596126
Aken_1326,-14.6514442,145.6390163
Aken_1925,-18.55918997,146.5023602
Aken_1947,-18.55923951,146.5022608
Aken_1954,-18.55936046,146.5022084
CBHE_BA1S_P3,-23.4284495,151.952358
ONLI_FL1S,-14.6980975,145.445447
CBLM_BA1S_P4,-23.9004655,152.393308
CBLM_FL1S_P2,-23.88506,152.4135875
OCDA_BA2S_P3,-18.81441,147.63697
PAPE_FR1S_P3,-18.539612,146.499036
CBHE_BA2S,-23.433982,151.920934
Aspat_429,-14.475055,145.502585
Aspat_1596,-23.90743973,152.3867061
Aspat_1597,-23.90743109,152.386691
Aken_1064,-16.84599652,146.2321624
Aken_1079,-16.84597112,146.2317756
Aken_8_Tydeman,-13.97107875,144.509965
Aken_1264,-14.78017515,145.3596584
Aken_1277,-14.78043096,145.3594595
Aken_1331,-14.65119098,145.6382735
Aken_43_Lizard,-14.64581391,145.4555579
Aken_1827,-18.55919617,146.5022861
Aken_1828,-18.55923406,146.502259
Aken_1935,-18.55943514,146.5022958
Aken_1942,-18.55966162,146.5021779
Aken_1950,-18.55921285,146.5021914
Aken_1953,-18.55930715,146.5022261
Aken_1955,-18.55936037,146.50221
Aken_1877,-18.66983403,147.7066355
Aken_1879,-18.66993017,147.7067698
Aken_1885,-18.66979874,147.7068846
Aken_1971,-18.67034809,147.7067818
Aken_2022,-18.82662498,147.6266273
CBLM_LA1S,-23.896238,152.413635
CBLM_BA1S,-23.900155,152.393624
ONMO_BA1S,-16.8472105,146.217424
ONLI_FR1S_P1,-14.69179039,145.4691158
TSAU_FR2S_P3,-9.88359,143.407125
TSMA_BA1S_P1,-9.748669624,143.4000397
CBHE_BA2S_P1,-23.433933,151.9212005
ONMO_FR1S_P1,-16.8722915,146.253598
ONMO_LA1S_P4,-16.8597595,146.225918
OCCH_BA2S_P4,-18.66053299,147.7024005
ONMO_FL1S_P2,-16.848538,146.237323
ONLI_LA1S_P4,-14.6879075,145.465401
Aspat_430,-14.47508,145.50259
Aspat_1598,-23.90741182,152.3866715
Aspat_1612,-23.88372414,152.4158023
Aken_1080,-16.84599945,146.2317839
Aken_9_Tydeman,-13.97109442,144.5100171
Aken_1265,-14.78019325,145.3596426
Aken_1360,-14.65150153,145.6390363
Aken_19_Lizard,-14.64599378,145.4557475
Aken_1373,-14.47482174,145.5029726
Aken_10,-18.27786673,147.3787855
Aken_14,-18.27798642,147.3789643
Aken_1917,-18.55925418,146.5023385
Aken_1918,-18.55924688,146.5023401
Aken_1919,-18.55924261,146.5023675
Aken_1930,-18.55908905,146.5023505
Aken_1956,-18.55937672,146.5022116
Aken_1859,-18.67037927,147.706492
Aken_1871,-18.67001725,147.706292
Aken_1881,-18.66991566,147.7068665
Aken_1892,-18.67011314,147.7067657
Aken_2016,-18.82670411,147.626529
