Site,Latitude,Longitude,Variable,Depth,mmm,mean_annual,monthly_variability
CBHE_FL1S,-23.4561755,151.925688,eta,99999.9,-0.006436105997398314,-0.10513291638279552,-0.48953130452620897
CBHE_FL1S,-23.4561755,151.925688,salt,-24,35.65246208616048,35.59846256132087,0.0022189810882739186
CBHE_FL1S,-23.4561755,151.925688,salt,-18,35.64817099703143,35.59644064631126,0.002202160948144013
CBHE_FL1S,-23.4561755,151.925688,salt,-13,35.64495543198217,35.595058021679236,0.0021926352857886576
CBHE_FL1S,-23.4561755,151.925688,salt,-9,35.64398231743883,35.59449795952062,0.002191208533364849
CBHE_FL1S,-23.4561755,151.925688,salt,-5.35,35.64363404227035,35.594159930373024,0.002192244979632244
CBHE_FL1S,-23.4561755,151.925688,salt,-2.35,35.6423564904803,35.59305526195753,0.0021905450050917715
CBHE_FL1S,-23.4561755,151.925688,salt,-0.5,35.64169674631596,35.586609510409836,0.0021770975806176605
CBHE_FL1S,-23.4561755,151.925688,temp,-24,27.449057201707564,25.092763620829277,0.08626983252975487
CBHE_FL1S,-23.4561755,151.925688,temp,-18,27.431615377081467,25.080315799531146,0.08607897728997084
CBHE_FL1S,-23.4561755,151.925688,temp,-13,27.42444373579221,25.073978268723796,0.08592175161253898
CBHE_FL1S,-23.4561755,151.925688,temp,-9,27.416766446937032,25.066942696148743,0.08588598524792432
CBHE_FL1S,-23.4561755,151.925688,temp,-5.35,27.41525845688918,25.06543130541373,0.0858857564673199
CBHE_FL1S,-23.4561755,151.925688,temp,-2.35,27.41542599898645,25.064810638071307,0.08589058691674499
CBHE_FL1S,-23.4561755,151.925688,temp,-0.5,27.40952645238957,25.057329402743935,0.08589111099300842
CBHE_FL1S,-23.4561755,151.925688,u,-24,-0.0033520053333333335,-0.005048515944272326,-0.3721158238018563
CBHE_FL1S,-23.4561755,151.925688,u,-18,-0.004724146082643594,-0.008544257361695397,-0.4736853764341074
CBHE_FL1S,-23.4561755,151.925688,u,-13,-0.008290549555555556,-0.013879674886451582,-0.4453895198570953
CBHE_FL1S,-23.4561755,151.925688,u,-9,-0.015071305620139176,-0.022964009820298396,-0.39256964367291275
CBHE_FL1S,-23.4561755,151.925688,u,-5.35,-0.012357538152901786,-0.0208834570683124,-0.45284337350387266
CBHE_FL1S,-23.4561755,151.925688,u,-2.35,-0.014135692555555555,-0.023469239820748816,-0.42971109325322693
CBHE_FL1S,-23.4561755,151.925688,u,-0.5,-0.019649122,-0.03084816905981981,-0.39562643308522594
CBHE_FL1S,-23.4561755,151.925688,v,-24,0.018590230598740844,0.009937796279045707,0.3721162775362585
CBHE_FL1S,-23.4561755,151.925688,v,-18,0.0333229613351359,0.018482302261183872,0.36004417562152835
CBHE_FL1S,-23.4561755,151.925688,v,-13,0.04959072936844472,0.027350696189925187,0.3621184335739773
CBHE_FL1S,-23.4561755,151.925688,v,-9,0.0696829406266393,0.03827869999838205,0.3685135528639802
CBHE_FL1S,-23.4561755,151.925688,v,-5.35,0.0710956329249471,0.039934439421309344,0.3577997542168631
CBHE_FL1S,-23.4561755,151.925688,v,-2.35,0.07444757584832275,0.04281583917307834,0.3420503300480359
CBHE_FL1S,-23.4561755,151.925688,v,-0.5,0.08440350013432506,0.048211169967582485,0.36349657549544073
CBHE_FL1S,-23.4561755,151.925688,wspeed_u,99999.9,-2.229451449888889,-3.6288335797727274,-0.27232051187264045
CBHE_FL1S,-23.4561755,151.925688,wspeed_v,99999.9,4.362199048751157,1.812616733062971,0.8453092418309321
CBHE_FR1D,-23.472098,151.977937,eta,99999.9,-0.007646296452669555,-0.10673549951931587,-0.48529795878936566
CBHE_FR1D,-23.472098,151.977937,salt,-24,35.64673825896602,35.59339922360364,0.0022553115908887492
CBHE_FR1D,-23.472098,151.977937,salt,-18,35.64064149648731,35.59411273913347,0.0022426470372090535
CBHE_FR1D,-23.472098,151.977937,salt,-13,35.638989306333066,35.593674013857495,0.0022382430518748625
CBHE_FR1D,-23.472098,151.977937,salt,-9,35.63868995575277,35.59348609956482,0.0022361532639851
CBHE_FR1D,-23.472098,151.977937,salt,-5.35,35.6371162733018,35.5933032133972,0.002234347050992138
CBHE_FR1D,-23.472098,151.977937,salt,-2.35,35.63633204375666,35.59200037728889,0.002224274702658092
CBHE_FR1D,-23.472098,151.977937,salt,-0.5,35.636107503091715,35.58600938712713,0.0022102923619379696
CBHE_FR1D,-23.472098,151.977937,temp,-24,27.36192136667019,25.031385705534433,0.08447075503196401
CBHE_FR1D,-23.472098,151.977937,temp,-18,27.374849591342258,25.049637162132957,0.08468189431666184
CBHE_FR1D,-23.472098,151.977937,temp,-13,27.36932452925148,25.047204967446866,0.08462582029443556
CBHE_FR1D,-23.472098,151.977937,temp,-9,27.367944010690202,25.046880789614875,0.0846302658816589
CBHE_FR1D,-23.472098,151.977937,temp,-5.35,27.37496121679026,25.051065531750055,0.08471487313376844
CBHE_FR1D,-23.472098,151.977937,temp,-2.35,27.372793296775185,25.04820966723068,0.08471766308013183
CBHE_FR1D,-23.472098,151.977937,temp,-0.5,27.36528685877909,25.03922858937433,0.08471896609713436
CBHE_FR1D,-23.472098,151.977937,u,-24,0.006304079019767634,0.003342260438579673,1.4572898858336707
CBHE_FR1D,-23.472098,151.977937,u,-18,0.007073395348294023,0.004211647469566317,1.361738316272063
CBHE_FR1D,-23.472098,151.977937,u,-13,0.01796239619639784,0.012690332962599965,0.731426314709477
CBHE_FR1D,-23.472098,151.977937,u,-9,0.022919716846856213,0.016050852726373056,0.6977517440831874
CBHE_FR1D,-23.472098,151.977937,u,-5.35,0.02597215654166985,0.01682518056761322,0.7890661517463989
CBHE_FR1D,-23.472098,151.977937,u,-2.35,0.026927426803340912,0.015531912364827701,0.9812224591668115
CBHE_FR1D,-23.472098,151.977937,u,-0.5,0.01969701636673593,0.006196897062003901,5.478861854569712
CBHE_FR1D,-23.472098,151.977937,v,-24,0.004372444444444444,0.0021467919743268123,0.8346623645715567
CBHE_FR1D,-23.472098,151.977937,v,-18,0.005875872,0.00337830888230371,0.5193206767573588
CBHE_FR1D,-23.472098,151.977937,v,-13,0.01056859285418011,0.007266359967977169,0.37072929576135943
CBHE_FR1D,-23.472098,151.977937,v,-9,0.012981894609399618,0.008481184083355596,0.3739852093208391
CBHE_FR1D,-23.472098,151.977937,v,-5.35,0.020653681700585295,0.010826838078040154,0.5031977473982674
CBHE_FR1D,-23.472098,151.977937,v,-2.35,0.02551310273780621,0.012853343407730512,0.5538951277060539
CBHE_FR1D,-23.472098,151.977937,v,-0.5,0.03740556690381465,0.019388396154780056,0.5718232805904159
CBHE_FR1D,-23.472098,151.977937,wspeed_u,99999.9,-2.2222110067777776,-3.6133981834545454,-0.2726039582441646
CBHE_FR1D,-23.472098,151.977937,wspeed_v,99999.9,4.356239123015377,1.8147285645964268,0.8387187487459364
CBHE_FR1S,-23.471972,151.9777105,eta,99999.9,-0.0076079392390741235,-0.1067070495516097,-0.485471678630617
CBHE_FR1S,-23.471972,151.9777105,salt,-24,35.64675586381279,35.593443730421654,0.0022553190851082486
CBHE_FR1S,-23.471972,151.9777105,salt,-18,35.64063910636705,35.59413609933984,0.002242736295472759
CBHE_FR1S,-23.471972,151.9777105,salt,-13,35.63908598811264,35.59371753524943,0.002238449573606093
CBHE_FR1S,-23.471972,151.9777105,salt,-9,35.63879414531995,35.593528460012074,0.0022363579075915596
CBHE_FR1S,-23.471972,151.9777105,salt,-5.35,35.63719168538459,35.5933258822864,0.002234544196541569
CBHE_FR1S,-23.471972,151.9777105,salt,-2.35,35.6363594673764,35.592014340359064,0.0022244163633591664
CBHE_FR1S,-23.471972,151.9777105,salt,-0.5,35.636135951089884,35.58599947584627,0.002210352382896074
CBHE_FR1S,-23.471972,151.9777105,temp,-24,27.362489832421,25.031861128900236,0.08448176381855885
CBHE_FR1S,-23.471972,151.9777105,temp,-18,27.37542763524879,25.050044203189156,0.08468848072299727
CBHE_FR1S,-23.471972,151.9777105,temp,-13,27.369869021877502,25.047521275952604,0.08463667427152567
CBHE_FR1S,-23.471972,151.9777105,temp,-9,27.368520427419924,25.047232366060346,0.08464071149813873
CBHE_FR1S,-23.471972,151.9777105,temp,-5.35,27.375063747983205,25.051135283237095,0.08471928545695233
CBHE_FR1S,-23.471972,151.9777105,temp,-2.35,27.372944349453462,25.048317745819823,0.08472173788987271
CBHE_FR1S,-23.471972,151.9777105,temp,-0.5,27.365472570038072,25.039349219279597,0.0847228798968122
CBHE_FR1S,-23.471972,151.9777105,u,-24,0.006258284367743041,0.003303573139848745,1.4703467003600925
CBHE_FR1S,-23.471972,151.9777105,u,-18,0.0068376606222037535,0.0040390586048208894,1.3866580098175394
CBHE_FR1S,-23.471972,151.9777105,u,-13,0.017916036417009996,0.012654932174372408,0.728756250134578
CBHE_FR1S,-23.471972,151.9777105,u,-9,0.022882062916553602,0.01602858877768142,0.6953638517995359
CBHE_FR1S,-23.471972,151.9777105,u,-5.35,0.025971631312570187,0.016783448950020777,0.7955162037210931
CBHE_FR1S,-23.471972,151.9777105,u,-2.35,0.026888291531228247,0.015483748771576015,0.9855722034017171
CBHE_FR1S,-23.471972,151.9777105,u,-0.5,0.019669106426563616,0.006158562413629326,5.557298001251803
CBHE_FR1S,-23.471972,151.9777105,v,-24,0.004343509666666667,0.002128721308420887,0.8348508261777562
CBHE_FR1S,-23.471972,151.9777105,v,-18,0.0057592277777777775,0.003316702270976899,0.5142237017292777
CBHE_FR1S,-23.471972,151.9777105,v,-13,0.010478320846587397,0.007244684334473408,0.36759151114900623
CBHE_FR1S,-23.471972,151.9777105,v,-9,0.01287547644935303,0.008473458101750413,0.37093615863011664
CBHE_FR1S,-23.471972,151.9777105,v,-5.35,0.020679899100473947,0.010827409616322935,0.5038999267280327
CBHE_FR1S,-23.471972,151.9777105,v,-2.35,0.025357471804716498,0.012787052690898089,0.552022738279856
CBHE_FR1S,-23.471972,151.9777105,v,-0.5,0.03725487457804059,0.019334553539029114,0.5702075518902386
CBHE_FR1S,-23.471972,151.9777105,wspeed_u,99999.9,-2.222160553777778,-3.6133924301439393,-0.27260950405319284
CBHE_FR1S,-23.471972,151.9777105,wspeed_v,99999.9,4.356275636427237,1.8147541510102339,0.8387346048934808
CBHE_FR2D,-23.4708255,151.9510635,eta,99999.9,-0.004025903301431583,-0.10349810143262032,-0.5011339995738355
CBHE_FR2D,-23.4708255,151.9510635,salt,-24,35.652851071069804,35.59926074164135,0.0022516707969663188
CBHE_FR2D,-23.4708255,151.9510635,salt,-18,35.648122262770855,35.59814481375416,0.0022254454291050045
CBHE_FR2D,-23.4708255,151.9510635,salt,-13,35.64753415947642,35.59781263590217,0.002218875991563612
CBHE_FR2D,-23.4708255,151.9510635,salt,-9,35.646672604845065,35.5974529238521,0.0022170990701716954
CBHE_FR2D,-23.4708255,151.9510635,salt,-5.35,35.64444207034272,35.59673545775093,0.0022143765963881096
CBHE_FR2D,-23.4708255,151.9510635,salt,-2.35,35.64133582213551,35.59538460879723,0.0022060254099679154
CBHE_FR2D,-23.4708255,151.9510635,salt,-0.5,35.640505537188105,35.590869128134564,0.0021960302585360596
CBHE_FR2D,-23.4708255,151.9510635,temp,-24,27.4238692973471,25.072528937939666,0.08594867745961435
CBHE_FR2D,-23.4708255,151.9510635,temp,-18,27.42095060324754,25.076776735033906,0.08588114943060894
CBHE_FR2D,-23.4708255,151.9510635,temp,-13,27.416054181105437,25.074873200475864,0.08587180660800145
CBHE_FR2D,-23.4708255,151.9510635,temp,-9,27.41538176042123,25.07506764302745,0.08586573022846926
CBHE_FR2D,-23.4708255,151.9510635,temp,-5.35,27.419000973876134,25.076671520698497,0.08585720535037983
CBHE_FR2D,-23.4708255,151.9510635,temp,-2.35,27.417001831144322,25.074023416208284,0.08585516860653522
CBHE_FR2D,-23.4708255,151.9510635,temp,-0.5,27.410625520606498,25.066966662118507,0.08585683437551792
CBHE_FR2D,-23.4708255,151.9510635,u,-24,0.0074477363524876935,0.0037896348734974624,2.042599623365095
CBHE_FR2D,-23.4708255,151.9510635,u,-18,0.008792292999797759,0.004664223059118891,2.2188992673967745
CBHE_FR2D,-23.4708255,151.9510635,u,-13,0.009875234428358226,0.0056183666281294726,1.8273991499114532
CBHE_FR2D,-23.4708255,151.9510635,u,-9,0.01275860365715215,0.007579371034158427,1.37789126397993
CBHE_FR2D,-23.4708255,151.9510635,u,-5.35,0.01449313478931875,0.0077676296088767995,1.691593288198876
CBHE_FR2D,-23.4708255,151.9510635,u,-2.35,0.013537859673516872,0.0049042302743114805,4.214023902464997
CBHE_FR2D,-23.4708255,151.9510635,u,-0.5,0.0076957690390334855,-0.0031706822994796305,-1.8930948364831273
CBHE_FR2D,-23.4708255,151.9510635,v,-24,0.010108362674390824,0.005407259727730269,0.40465729751105123
CBHE_FR2D,-23.4708255,151.9510635,v,-18,0.012137935217463487,0.006087046653050443,0.44729891510754444
CBHE_FR2D,-23.4708255,151.9510635,v,-13,0.012326664751149748,0.006035581014601367,0.48136302210128024
CBHE_FR2D,-23.4708255,151.9510635,v,-9,0.013057204541827835,0.006923850891101031,0.4325777976243524
CBHE_FR2D,-23.4708255,151.9510635,v,-5.35,0.02060648437400235,0.010835513524638296,0.4526554154344502
CBHE_FR2D,-23.4708255,151.9510635,v,-2.35,0.028494588153228466,0.01475760654092926,0.4540695191557041
CBHE_FR2D,-23.4708255,151.9510635,v,-0.5,0.03964467726760068,0.020340724709797236,0.49764991440136663
CBHE_FR2D,-23.4708255,151.9510635,wspeed_u,99999.9,-2.2180990938888887,-3.6179444425681817,-0.27320985896151384
CBHE_FR2D,-23.4708255,151.9510635,wspeed_v,99999.9,4.363472886993516,1.81729149696296,0.8428943761185645
CBHE_FR2S,-23.470371,151.950669,eta,99999.9,-0.003994587851223309,-0.10347031138379553,-0.5012868332006827
CBHE_FR2S,-23.470371,151.950669,salt,-24,35.65285737925845,35.59926907235671,0.002251673720299786
CBHE_FR2S,-23.470371,151.950669,salt,-18,35.64811437497233,35.59814912414639,0.002224949102225463
