EcoLocationID_short,Latitude,Longitude,salt_9_mean,salt_9_median,salt_0.5_mean,salt_0.5_median,salt_2.35_mean,salt_2.35_median,temp_9_mean,temp_9_median,temp_0.5_mean,temp_0.5_median,temp_2.35_mean,temp_2.35_median,eta_99999.9_mean,eta_99999.9_median,v_9_mean,v_9_median,v_0.5_mean,v_0.5_median,v_2.35_mean,v_2.35_median,u_9_mean,u_9_median,u_0.5_mean,u_0.5_median,u_2.35_mean,u_2.35_median,wspeed_v_mean,wspeed_v_median,wspeed_u_mean,wspeed_u_median
ONLI_LO1S,-14.6835,145.450361,35.23602801136348,35.231934051313246,35.23706542019586,35.235209871494405,35.23560957375891,35.23356163941444,27.22322201330737,27.168910832632623,27.327453658784247,27.15665965,27.272674282699256,27.156739452443656,0.071863488,0.039756734,-0.040190149,-0.050569835,-0.005719625,-0.002063421,-0.01651975,-0.020181003,0.024862221345820123,0.032685013,-0.006069055,-0.014755038,0.019027040902853152,0.022517984693444185,1.1878484719562203,1.619362782512293,-3.638142787,-4.439418424
ONLI_CL1S,-14.663694,145.451111,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
ONLI_NT1D,-14.646028,145.453583,35.22343606979081,35.225983549377084,35.22167866982536,35.218673502026206,35.221251284628686,35.21863271921906,27.237724238696252,27.14574687803491,27.28924186057466,27.121999003323655,27.25310051327641,27.12552820254206,0.077036129,0.044598445,-0.008422909,-0.005920323,-0.027706658,-0.028903029,-0.022713872,-0.021242294,0.024820123685127208,0.026804321,-0.034175594,-0.055788494,-0.002333223,-0.011090626,1.188778638626558,1.630625517659541,-3.651670149,-4.425059384
ONLI_NT1S,-14.646083,145.45375,35.22341175833903,35.225992363836845,35.22165870214291,35.218665168814226,35.221233250948245,35.21860967085913,27.237666346035404,27.145847083007105,27.289146878074583,27.12203634662843,27.25317066417214,27.125370638408608,0.077022835,0.044627529,-0.008688779,-0.006169501,-0.027784107,-0.029170728,-0.022935001,-0.021738017,0.025012563,0.026489387097874784,-0.034043772,-0.056405383,-0.002167357,-0.011171534,1.188781901086656,1.630659379881104,-3.651681205,-4.425034698
ONLI_BV1S,-14.684389,145.44,35.23549019968979,35.23263288833695,35.23514020063938,35.23323789592012,35.23385934748662,35.231908969745135,27.234604348707762,27.168718832424357,27.304393271610312,27.163329688232004,27.26759251038578,27.163046908719068,0.073757451,0.040390644,-0.047516868,-0.056109719,-0.029038159,-0.027749419,-0.042669015,-0.053128617,0.027989531,0.035081703,-0.006290699,-0.021434201,0.025461332716268614,0.026562904025372855,1.1871922496000247,1.6186146928380256,-3.640596495,-4.441765686
ONLI_RE1S,-14.679194,145.443583,35.23468706,35.23240757,35.23491706218848,35.23416531436157,35.233384524665205,35.23237655585858,27.23067372,27.168143714313373,27.30984500842359,27.16202969705596,27.26729906,27.16179728089368,0.073481849,0.040563418,-0.046115381,-0.055028281,-0.020790974,-0.017450615,-0.034866702,-0.043710619,0.026774832470999446,0.033873521,-0.004542825,-0.016990408,0.022763110949043344,0.026096072222056097,1.1873760844945949,1.6186218033865232,-3.641722305,-4.453894553
ONLI_LA2S,-14.686861,145.454972,35.23642703277361,35.232637703860505,35.23668768285165,35.235173545525086,35.23610140943664,35.23409822222784,27.224957616293707,27.16628270545352,27.324819936342102,27.154507216851496,27.273588303268582,27.155290876017464,0.071491671,0.039374683,-0.030643641,-0.038649513,-0.00452696,-0.001064359,-0.017717246,-0.022416411,0.016267320893336053,0.019492157061632064,-0.010572372,-0.018102745,0.015510786126597993,0.017430526,1.1880422914475677,1.6142093844015604,-3.636040038,-4.435601465
ONLI_TA1S,-14.685111,145.466972,35.23299795441972,35.23107973809604,35.23040804641477,35.23138259465692,35.230839600877665,35.232283968210545,27.22521699728408,27.04674355119195,27.310210620232677,27.133718390411886,27.274602610341802,27.138190206844353,0.071130081,0.03916402,-0.01011599,-0.012519717,-0.023135358,-0.029968679,-0.022007414,-0.029208827,-0.005820932,-0.009302178,-0.039046934,-0.041121667,-0.010860547,-0.006934508,1.1887902538229311,1.607293676045087,-3.631799397,-4.408721878
ONLI_PA1S,-14.696806,145.449889,35.237708152591566,35.232302278326834,35.23673142120179,35.23444950056399,35.23643373417546,35.23351752075162,27.23526072551185,27.169559610967934,27.31832424810926,27.157014328623077,27.28006808225413,27.159815540327404,0.072404783,0.040448164,-0.038056839,-0.044412099,-0.024711792,-0.026005567,-0.03394128,-0.043338311,0.021209494323792235,0.025695675,-0.021204997,-0.033642855,0.012785248081200247,0.009527427,1.187625403,1.6051116779660393,-3.633924771,-4.43875377
ONLI_CN1S,-14.658139,145.451583,35.22512977633755,35.226853910446586,35.223075588256634,35.22054097292397,35.22264225639074,35.21975069298213,27.24268066462329,27.145858578061464,27.29316927,27.13061664238971,27.250908585984764,27.13357887190787,0.077468628,0.043489889,-0.003708285,0.001840654,-0.029874133,-0.034128677,-0.019667774,-0.019218979,0.012850286912781433,0.016450836815362125,-0.046356478,-0.058690541,-0.014101865,-0.018794219,1.1884695696589203,1.627501948939429,-3.651162275,-4.427134745
CBLM_BA1S,-23.900155,152.393624,35.76753009646309,35.75969129215101,35.768059618195636,35.76118463952475,35.76808062028198,35.761103491738474,24.83068973969678,24.964766906479355,24.83708805337574,24.964878864016065,24.837145611526527,24.964873269678762,-0.100728326,-0.121113138,4.1765477137425754E-4,-0.001406421,-0.00256671,-0.002145482,-0.001940138,-0.00230049,0.005352748,0.002433776,0.007083826,-0.003867615,0.009919511,-2.40E-04,-0.76277377,-1.512456961,-2.316377356,-2.477234179
CBLM_BA2S,-23.894298,152.404406,35.76330344579166,35.747426579332874,35.76365295941994,35.74750908254047,35.76366362767001,35.74750851,24.812360693902416,24.967291966048446,24.81581773116981,24.967293482944747,24.815906474501706,24.96729257872432,-0.101173844,-0.129267244,-0.004166074,-7.01E-04,-0.009120733,-7.44E-04,-0.008145479,0,0.00391791,0,0.002928363,-0.009212029,0.005672927,-0.003470837,-0.760216677,-1.516743548,-2.320451653,-2.474863401
CBLM_FL1S,-23.884903,152.413621,35.76018614289839,35.744180638799385,35.76073839842015,35.74427933511132,35.76080893494066,35.74431516407368,24.795123685033737,24.965277414343106,24.802321918475553,24.96593973830529,24.802411178315968,24.966067012023995,-0.100340039,-0.128918965,-0.002875688,0.001668117,-0.005623561,0.002274956,-0.004241263,0.003186679,0.006545907,-0.007300895,0.005225612,-0.01427401,0.007433763,-0.009516864,-0.756701178,-1.484448649,-2.325283866,-2.468957575
CBLM_FL2S,-23.917571,152.391971,35.77437145291769,35.76987528047359,35.77315895071078,35.76854537510646,35.77319531260708,35.768549374092544,24.876061448818717,24.959350980519627,24.874093900206073,24.960919116843876,24.874395529242133,24.960858516573516,-0.099397613,-0.122764086,-0.014154474,-0.026364134,-0.012499314,-0.024806395,-0.011093598,-0.021803112,0.036100884,0.026581841582749753,0.038179248,0.027566678,0.042557730041908895,0.037086534,-0.770429175,-1.510496827,-2.307727951,-2.454037028
CBLM_LA1S,-23.896147,152.413821,35.761047696912925,35.74517405651421,35.76139878372787,35.745846886648245,35.761426717232496,35.74585034,24.809484996010188,24.967487988886003,24.815898970132416,24.96763496733606,24.816210117384802,24.967618800541242,-0.101916423,-0.127236062,-0.004864557,-0.001461655,-0.010833467,0.003098551,-0.009800282,0.004888972,8.775598880154628E-4,-0.001823953,9.10994113517513E-4,-0.005980448,0.004805819,0.001019373,-0.76123498,-1.505798033,-2.320253535,-2.494327703
KEGK_BA1S,-23.1965435,150.9368275,35.76934870133229,35.752284836539104,35.75310841,35.756224678891726,35.75623925148721,35.756224678891726,26.712244089724347,26.586970690036726,26.796316427036047,26.549783132313845,26.77055212736583,26.553479481177103,-0.083054901,-0.083480663,-0.003628155,0.006325267,-0.026371971,-0.007703102,-0.021920647,0.002144417,0.00225067,0.002757739,0.014020148390300809,1.3166770647602617E-4,0.016899638945951697,0.002676928,-1.513369716,-1.635661834,-2.622834989,-2.784570757
KEHW_BA1S,-23.2018935,150.966579,35.76609917959705,35.72500735353642,35.75043702931821,35.723443487095395,35.75301395576261,35.72528051860655,26.56817588298147,26.379549983074117,26.67048496075209,26.460556207628333,26.634980755007327,26.464906477612573,-0.083222671,-0.075196705,-0.001132408,-0.004547388,-0.006506161,-0.016519308,-1.46E-04,-0.010450707,0.002050367,-0.001192199,-0.010306763,-0.013562475,-0.003948699,-0.006915049,-1.483712041,-1.606168261,-2.612422535,-2.771388289
KEML_BA1S,-23.150495,150.90294,35.793675995640044,35.827262461986585,35.79217482152398,35.82411714,35.79381710614588,35.825272991968546,26.883355174042446,26.651223874445105,26.948576288996637,26.704881796810813,26.931517329183663,26.70624356675613,-0.079035699,-0.076757796,-0.003464538,-0.003463727,-0.005970585,-0.003604024,-5.42E-04,0.009203502,-0.00322049,0.010646271219111825,-0.005809829,0.007747168,0.003882723,0.027038599447713228,-1.506305343,-1.572077555,-2.596800116,-2.7380598
